Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SEIRS,0.1,0.1,0.1,0.1,0.912428647,0.01612292,0.764090796,0.158197453,-0.814188571,0.630438204,-0.813057218,-0.064664921
large_complex,SEIRS,0.1,0.1,0.1,0.2,0.878532729,0.017752196,0.762278145,0.126612154,-0.786418872,0.567217023,-0.789322308,-0.353345393
large_complex,SEIRS,0.1,0.1,0.1,0.3,0.851745936,0.018201176,0.761978112,0.099537143,-0.7732551,0.484259002,-0.780892715,-0.468033801
large_complex,SEIRS,0.1,0.1,0.1,0.4,0.830377111,0.018029679,0.761696556,0.077541535,-0.770592079,0.44742791,-0.784744754,-0.463695983
large_complex,SEIRS,0.1,0.1,0.1,0.5,0.812711664,0.018100143,0.762496307,0.058653916,-0.764896246,0.427663943,-0.782689702,-0.500941025
large_complex,SEIRS,0.1,0.1,0.1,0.6,0.797548335,0.017801223,0.761971781,0.043248395,-0.757356956,0.432959689,-0.775012807,-0.470138185
large_complex,SEIRS,0.1,0.1,0.1,0.7,0.784728734,0.018004247,0.762158314,0.029849597,-0.753986289,0.348884586,-0.778101128,-0.379472458
large_complex,SEIRS,0.1,0.1,0.1,0.8,0.773343077,0.018039218,0.76183708,0.018231292,-0.761425455,0.297426665,-0.78075739,-0.353264653
large_complex,SEIRS,0.1,0.1,0.1,0.9,0.764836723,0.018148316,0.762816279,0.008363436,-0.745851414,0.193330752,-0.774063648,-0.250953984
large_complex,SEIRS,0.1,0.1,0.1,1,0.755262519,0.017350211,0.761863898,0.00296019,-0.748014623,0.374572584,-0.774869459,nan
large_complex,SEIRS,0.1,0.1,0.2,0.1,0.91834114,0.008709053,0.764437404,0.158871161,-0.866063734,0.599274766,-0.848816977,-0.04086649
large_complex,SEIRS,0.1,0.1,0.2,0.2,0.883840206,0.009733104,0.762382575,0.126310417,-0.837369808,0.490268311,-0.830043053,-0.304618196
large_complex,SEIRS,0.1,0.1,0.2,0.3,0.857921403,0.01012711,0.762417793,0.099885677,-0.82674874,0.368746971,-0.821705141,-0.450430935
large_complex,SEIRS,0.1,0.1,0.2,0.4,0.836602582,0.00992547,0.763199695,0.077239982,-0.808233692,0.421653429,-0.805714442,-0.498728077
large_complex,SEIRS,0.1,0.1,0.2,0.5,0.817759654,0.010229624,0.762313946,0.058846658,-0.799387574,0.302297234,-0.80182411,-0.443899903
large_complex,SEIRS,0.1,0.1,0.2,0.6,0.80332982,0.010252558,0.762753877,0.0432684,-0.791569385,0.245092486,-0.795288409,-0.460667522
large_complex,SEIRS,0.1,0.1,0.2,0.7,0.791442108,0.010271617,0.763878821,0.029850254,-0.797463733,0.220246962,-0.802645554,-0.389129892
large_complex,SEIRS,0.1,0.1,0.2,0.8,0.779206128,0.010457961,0.762804955,0.018261481,-0.794617387,0.143229667,-0.800673064,-0.362439996
large_complex,SEIRS,0.1,0.1,0.2,0.9,0.770130121,0.01032418,0.763401854,0.008435653,-0.796175274,0.180429106,-0.800432373,-0.239097576
large_complex,SEIRS,0.1,0.1,0.2,1,0.760181444,0.010242692,0.762170017,0.003285048,-0.788240434,0.201563749,-0.796678437,nan
large_complex,SEIRS,0.1,0.1,0.3,0.1,0.921006685,0.00588271,0.765711743,0.158783165,-0.869578635,0.58694504,-0.857241978,0.006164221
large_complex,SEIRS,0.1,0.1,0.3,0.2,0.885908005,0.006737877,0.762620788,0.126582649,-0.841474834,0.424234226,-0.825824711,-0.386074989
large_complex,SEIRS,0.1,0.1,0.3,0.3,0.859795511,0.00701973,0.763015578,0.099522456,-0.834581102,0.311965932,-0.825161968,-0.471106843
large_complex,SEIRS,0.1,0.1,0.3,0.4,0.837766463,0.007106004,0.762794217,0.077378848,-0.816866383,0.312702825,-0.812005473,-0.492405258
large_complex,SEIRS,0.1,0.1,0.3,0.5,0.820117373,0.007144189,0.762713422,0.059252165,-0.815698393,0.259658238,-0.811012713,-0.483122558
large_complex,SEIRS,0.1,0.1,0.3,0.6,0.804871406,0.007269477,0.762921919,0.043449279,-0.811260178,0.206550734,-0.808260088,-0.48446813
large_complex,SEIRS,0.1,0.1,0.3,0.7,0.792505294,0.007542889,0.763965849,0.029764934,-0.813962823,0.083551414,-0.813373,-0.418907238
large_complex,SEIRS,0.1,0.1,0.3,0.8,0.782400697,0.007362335,0.765047003,0.018400247,-0.814643861,0.176609992,-0.815687872,-0.340258345
large_complex,SEIRS,0.1,0.1,0.3,0.9,0.771890224,0.007462542,0.764372855,0.008581724,-0.793605541,0.135112529,-0.800220411,-0.245767749
large_complex,SEIRS,0.1,0.1,0.3,1,0.763695764,0.007618039,0.764978894,0.003432403,-0.803369769,0.085495854,-0.807412393,nan
large_complex,SEIRS,0.1,0.1,0.4,0.1,0.922491849,0.004583005,0.766689868,0.158636061,-0.866124179,0.482446456,-0.864138763,-0.012101959
large_complex,SEIRS,0.1,0.1,0.4,0.2,0.887329397,0.005271725,0.763091339,0.126843904,-0.853257837,0.328068701,-0.839875365,-0.354842275
large_complex,SEIRS,0.1,0.1,0.4,0.3,0.861171486,0.005483994,0.764075342,0.099441816,-0.838676367,0.306589715,-0.826004167,-0.477129599
