Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SIRS,0.1,0.1,0,0.1,0.925334748,0.855012975,0.766281139,0.160039869,-0.891643159,nan,-0.8814602,-0.002543362
large_complex,SIRS,0.1,0.1,0,0.2,0.890967829,0.855012975,0.764769473,0.126871521,-0.875998877,nan,-0.854017498,-0.333071826
large_complex,SIRS,0.1,0.1,0,0.3,0.864390947,0.855012975,0.765464424,0.099500125,-0.862341587,nan,-0.845933522,-0.455020078
large_complex,SIRS,0.1,0.1,0,0.4,0.842469896,0.855012975,0.765527899,0.077447239,-0.856903929,nan,-0.843867713,-0.495368142
large_complex,SIRS,0.1,0.1,0,0.5,0.825854259,0.855012975,0.76733674,0.059013847,-0.851378188,nan,-0.843126768,-0.474718106
large_complex,SIRS,0.1,0.1,0,0.6,0.808976623,0.855012975,0.766005746,0.043469495,-0.841800134,nan,-0.837016374,-0.421743038
large_complex,SIRS,0.1,0.1,0,0.7,0.797288371,0.855012975,0.76800991,0.029873083,-0.832540728,nan,-0.827001157,-0.39909203
large_complex,SIRS,0.1,0.1,0,0.8,0.784616436,0.855012975,0.766876392,0.018460879,-0.841481394,nan,-0.839953797,-0.322704333
large_complex,SIRS,0.1,0.1,0,0.9,0.775555933,0.855012975,0.768069589,0.008656656,-0.832978207,nan,-0.831113999,-0.250419785
large_complex,SIRS,0.1,0.1,0,1,0.767747482,0.855012975,0.769269083,0.003825378,-0.831373876,nan,-0.830206551,nan
large_complex,SIRS,0.1,0.2,0,0.1,0.867408171,0.855012975,0.549008577,0.319499359,-0.681647781,nan,-0.390570189,-0.694658155
large_complex,SIRS,0.1,0.2,0,0.2,0.792590606,0.855012975,0.55273049,0.240475304,-0.550878027,nan,-0.404781724,-0.592366274
large_complex,SIRS,0.1,0.2,0,0.3,0.736645327,0.855012975,0.553739797,0.183444924,-0.474700679,nan,-0.387608084,-0.500728054
large_complex,SIRS,0.1,0.2,0,0.4,0.697885007,0.855012975,0.558825989,0.139513766,-0.505482301,nan,-0.434649122,-0.523497453
large_complex,SIRS,0.1,0.2,0,0.5,0.662633048,0.855012975,0.55866789,0.104367383,-0.443761117,nan,-0.398504613,-0.442042268
large_complex,SIRS,0.1,0.2,0,0.6,0.637106383,0.855012975,0.561145739,0.076392664,-0.444779931,nan,-0.407321438,-0.429466294
large_complex,SIRS,0.1,0.2,0,0.7,0.61387346,0.855012975,0.561842163,0.052450585,-0.456835313,nan,-0.427403681,-0.403522695
large_complex,SIRS,0.1,0.2,0,0.8,0.596455092,0.855012975,0.564250945,0.032668927,-0.430670278,nan,-0.407217551,-0.354998048
large_complex,SIRS,0.1,0.2,0,0.9,0.578530139,0.855012975,0.563580686,0.015531479,-0.41632626,nan,-0.397305821,-0.292785226
large_complex,SIRS,0.1,0.2,0,1,0.56525631,0.855012975,0.565234041,0.002810025,-0.425315322,nan,-0.409438124,nan
large_complex,SIRS,0.1,0.3,0,0.1,0.721584166,0.855012975,0.313019643,0.409447531,-0.292902987,nan,-0.104291651,-0.31768141
large_complex,SIRS,0.1,0.3,0,0.2,0.61234396,0.855012975,0.322502432,0.290372818,-0.241393654,nan,-0.121894153,-0.272232182
large_complex,SIRS,0.1,0.3,0,0.3,0.526749442,0.855012975,0.319278532,0.207913332,-0.180101356,nan,-0.10544443,-0.210738209
large_complex,SIRS,0.1,0.3,0,0.4,0.473319285,0.855012975,0.320472895,0.153272324,-0.175645349,nan,-0.112228005,-0.215209538
large_complex,SIRS,0.1,0.3,0,0.5,0.432494786,0.855012975,0.321669471,0.111212189,-0.143965719,nan,-0.101995954,-0.171468454
large_complex,SIRS,0.1,0.3,0,0.6,0.404956213,0.855012975,0.325242391,0.080116116,-0.150362148,nan,-0.114168994,-0.173901686
large_complex,SIRS,0.1,0.3,0,0.7,0.386023572,0.855012975,0.331442696,0.054983077,-0.155350009,nan,-0.122749235,-0.186554181
large_complex,SIRS,0.1,0.3,0,0.8,0.365958713,0.855012975,0.332892354,0.033542295,-0.153099834,nan,-0.12630128,-0.179051909
large_complex,SIRS,0.1,0.3,0,0.9,0.345494463,0.855012975,0.33049417,0.015587037,-0.143844167,nan,-0.123027417,-0.150783048
large_complex,SIRS,0.1,0.3,0,1,0.330666079,0.855012975,0.330631083,0.002972132,-0.1338145,nan,-0.117745391,nan
large_complex,SIRS,0.1,0.4,0,0.1,0.178199815,0.855012975,0.036861179,0.141762294,0.035498365,nan,0.336101589,0.009267724
large_complex,SIRS,0.1,0.4,0,0.2,0.049691103,0.855012975,0.016223421,0.033833137,0.324446983,nan,0.603443656,0.242175872
large_complex,SIRS,0.1,0.4,0,0.3,0.027693931,0.855012975,0.012201678,0.015882315,0.504926441,nan,0.701820148,0.393099885
large_complex,SIRS,0.1,0.4,0,0.4,0.079409278,0.855012975,0.042146185,0.037595456,0.1619209,nan,0.291939619,0.090905314
large_complex,SIRS,0.1,0.4,0,0.5,0.080542681,0.855012975,0.050289665,0.030567825,0.13651576,nan,0.220081469,0.073437118
large_complex,SIRS,0.1,0.4,0,0.6,0.027383392,0.855012975,0.018985518,0.008814499,0.440101117,nan,0.559350236,0.246583179
large_complex,SIRS,0.1,0.4,0,0.7,0.04590161,0.855012975,0.036014193,0.010421519,0.256500088,nan,0.330927271,0.109325817
large_complex,SIRS,0.1,0.4,0,0.8,0.034343834,0.855012975,0.029358232,0.005747788,0.318093176,nan,0.373708823,0.177372401
large_complex,SIRS,0.1,0.4,0,0.9,0.045419665,0.855012975,0.042084012,0.004569717,0.241150385,nan,0.278244676,0.080037329
large_complex,SIRS,0.1,0.4,0,1,0.037063153,0.855012975,0.036722411,0.003135275,0.283972392,nan,0.307981137,nan
large_complex,SIRS,0.1,0.5,0,0.1,0.004365514,0.855012975,0.002363132,0.003440574,0.992361079,nan,0.975430483,0.987251551
large_complex,SIRS,0.1,0.5,0,0.2,0.005069827,0.855012975,0.002825798,0.003371194,0.97715916,nan,0.963625384,0.967091096
large_complex,SIRS,0.1,0.5,0,0.3,0.005581588,0.855012975,0.002867236,0.003503607,0.958453804,nan,0.963808067,0.939618472
large_complex,SIRS,0.1,0.5,0,0.4,0.005717376,0.855012975,0.00256874,0.00350994,0.944615461,nan,0.97175774,0.924059732
large_complex,SIRS,0.1,0.5,0,0.5,0.005234529,0.855012975,0.002457845,0.002935009,0.948183964,nan,0.973535666,0.941824358
large_complex,SIRS,0.1,0.5,0,0.6,0.005842179,0.855012975,0.002755709,0.003242652,0.921650821,nan,0.965793133,0.868114476
large_complex,SIRS,0.1,0.5,0,0.7,0.005227634,0.855012975,0.002256199,0.003009278,0.938115251,nan,0.978315501,0.931056811
large_complex,SIRS,0.1,0.5,0,0.8,0.005368983,0.855012975,0.002327279,0.0030622,0.926571514,nan,0.976669457,0.86316068
large_complex,SIRS,0.1,0.5,0,0.9,0.005715549,0.855012975,0.002501543,0.003216902,0.911341467,nan,0.973095723,0.924507916
large_complex,SIRS,0.1,0.5,0,1,0.005786952,0.855012975,0.002518709,0.003278972,0.902992773,nan,0.972569717,nan
large_complex,SIRS,0.1,0.6,0,0.1,0.003487845,0.855012975,0.002754541,0.003127406,0.995965724,nan,0.960606793,0.985677449
large_complex,SIRS,0.1,0.6,0,0.2,0.004774677,0.855012975,0.002924418,0.003477531,0.980014331,nan,0.954875124,0.962208152
large_complex,SIRS,0.1,0.6,0,0.3,0.004771033,0.855012975,0.002526234,0.003154838,0.968974524,nan,0.96716575,0.952759791
large_complex,SIRS,0.1,0.6,0,0.4,0.005050665,0.855012975,0.002614314,0.00313533,0.952999958,nan,0.964443479,0.92653245
large_complex,SIRS,0.1,0.6,0,0.5,0.005044853,0.855012975,0.002584038,0.002988165,0.944346609,nan,0.965562508,0.906427298
large_complex,SIRS,0.1,0.6,0,0.6,0.005183599,0.855012975,0.002551272,0.002819299,0.934778314,nan,0.966097553,0.935071773
large_complex,SIRS,0.1,0.6,0,0.7,0.005596443,0.855012975,0.002533823,0.003147141,0.910654452,nan,0.966195876,0.884092188
large_complex,SIRS,0.1,0.6,0,0.8,0.005302136,0.855012975,0.002200504,0.00313937,0.918410538,nan,0.975765401,0.91884213
