Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SIR,0.1,0.1,0,0,0.344175879,0.855012975,0.773298178,0.429648839,0.97195443,nan,-0.881144264,-0.095843389
large_complex,SIR,0.1,0.2,0,0,0.517796901,0.855012975,0.546228231,0.047928642,0.625870471,nan,-0.36768598,0.455307447
large_complex,SIR,0.1,0.3,0,0,0.559284681,0.855012975,0.311388682,0.257552935,0.343385982,nan,-0.104867342,0.454614063
large_complex,SIR,0.1,0.4,0,0,0.51126614,0.855012975,0.026453312,0.488343342,0.156808353,nan,0.427197068,0.210181003
large_complex,SIR,0.1,0.5,0,0,0.026425807,0.855012975,0.002699849,0.026395248,0.499542546,nan,0.967987586,0.972343615
large_complex,SIR,0.1,0.6,0,0,0.026461099,0.855012975,0.002312613,0.026454751,0.378268536,nan,0.973251853,0.972935085
large_complex,SIR,0.1,0.7,0,0,0.03257997,0.855012975,0.002867368,0.03261697,0.837310578,nan,0.950667116,0.950530069
large_complex,SIR,0.1,0.8,0,0,0.029543442,0.855012975,0.002930625,0.029604314,nan,nan,0.94295563,0.943106722
large_complex,SIR,0.1,0.9,0,0,0.026082042,0.855012975,0.003131046,0.026187343,nan,nan,0.929171678,0.929297588
large_complex,SIR,0.1,1,0,0,0.023345731,0.855012975,0.003482815,0.023522042,nan,nan,0.905970052,0.906080554
large_complex,SIR,0.2,0.1,0,0,0.114144866,0.855012975,0.773188485,0.661918732,0.906782281,nan,-0.902419844,-0.078497654
large_complex,SIR,0.2,0.2,0,0,0.341095706,0.855012975,0.545613174,0.208291792,0.63323227,nan,-0.409337799,0.422864115
large_complex,SIR,0.2,0.3,0,0,0.450064113,0.855012975,0.308756644,0.15483954,0.36488635,nan,-0.124857219,0.471588625
large_complex,SIR,0.2,0.4,0,0,0.478913979,0.855012975,0.047105329,0.436172495,0.224110866,nan,0.268794116,0.295096862
large_complex,SIR,0.2,0.5,0,0,0.045597802,0.855012975,0.00356161,0.04547557,0.318860877,nan,0.949845976,0.776835243
large_complex,SIR,0.2,0.6,0,0,0.080491601,0.855012975,0.003103937,0.080430016,0.479996828,nan,0.954368499,0.962553758
large_complex,SIR,0.2,0.7,0,0,0.071531387,0.855012975,0.003243918,0.071496522,0.60364522,nan,0.940175025,0.943722369
large_complex,SIR,0.2,0.8,0,0,0.062067196,0.855012975,0.003351101,0.06205907,0.850014952,nan,0.927702039,0.928353618
large_complex,SIR,0.2,0.9,0,0,0.055089759,0.855012975,0.0035829,0.055112555,nan,nan,0.909120577,0.909764267
large_complex,SIR,0.2,1,0,0,0.049050413,0.855012975,0.003764867,0.049104539,nan,nan,0.892589489,0.893120785
large_complex,SIR,0.3,0.1,0,0,0.04888216,0.855012975,0.773884032,0.738100347,0.84936107,nan,-0.897593597,-0.024439803
large_complex,SIR,0.3,0.2,0,0,0.200727892,0.855012975,0.548730556,0.353652016,0.653550976,nan,-0.452726269,0.420090378
