Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SIS,0.1,0.1,0,0,0.779255239,0.855012975,0.779255239,0.855012975,-0.82419143,nan,-0.82419143,nan
large_complex,SIS,0.1,0.2,0,0,0.580198727,0.855012975,0.580198727,0.855012975,-0.427526522,nan,-0.427526522,nan
large_complex,SIS,0.1,0.3,0,0,0.333832245,0.855012975,0.333832245,0.855012975,-0.115624274,nan,-0.115624274,nan
large_complex,SIS,0.1,0.4,0,0,0.054275404,0.855012975,0.054275404,0.855012975,0.218166944,nan,0.218166944,nan
large_complex,SIS,0.1,0.5,0,0,0.00258582,0.855012975,0.00258582,0.855012975,0.972688158,nan,0.972688158,nan
large_complex,SIS,0.1,0.6,0,0,0.00282038,0.855012975,0.00282038,0.855012975,0.960076705,nan,0.960076705,nan
large_complex,SIS,0.1,0.7,0,0,0.002982932,0.855012975,0.002982932,0.855012975,0.947621907,nan,0.947621907,nan
large_complex,SIS,0.1,0.8,0,0,0.003187213,0.855012975,0.003187213,0.855012975,0.932542519,nan,0.932542519,nan
large_complex,SIS,0.1,0.9,0,0,0.003227038,0.855012975,0.003227038,0.855012975,0.925266491,nan,0.925266491,nan
large_complex,SIS,0.1,1,0,0,0.003533513,0.855012975,0.003533513,0.855012975,0.903599243,nan,0.903599243,nan
large_complex,SIS,0.2,0.1,0,0,0.318873891,0.855012975,0.318873891,0.855012975,0.831193819,nan,0.831193819,nan
large_complex,SIS,0.2,0.2,0,0,0.604683482,0.855012975,0.604683482,0.855012975,-0.827952814,nan,-0.827952814,nan
large_complex,SIS,0.2,0.3,0,0,0.36854948,0.855012975,0.36854948,0.855012975,-0.226580607,nan,-0.226580607,nan
large_complex,SIS,0.2,0.4,0,0,0.047840126,0.855012975,0.047840126,0.855012975,0.213060448,nan,0.213060448,nan
large_complex,SIS,0.2,0.5,0,0,0.00416085,0.855012975,0.00416085,0.855012975,0.932749394,nan,0.932749394,nan
large_complex,SIS,0.2,0.6,0,0,0.003494818,0.855012975,0.003494818,0.855012975,0.943685942,nan,0.943685942,nan
large_complex,SIS,0.2,0.7,0,0,0.003531227,0.855012975,0.003531227,0.855012975,0.930549288,nan,0.930549288,nan
large_complex,SIS,0.2,0.8,0,0,0.003504813,0.855012975,0.003504813,0.855012975,0.922951262,nan,0.922951262,nan
large_complex,SIS,0.2,0.9,0,0,0.003864089,0.855012975,0.003864089,0.855012975,0.895285612,nan,0.895285612,nan
large_complex,SIS,0.2,1,0,0,0.003918657,0.855012975,0.003918657,0.855012975,0.885122898,nan,0.885122898,nan
large_complex,SIS,0.3,0.1,0,0,0.168247562,0.855012975,0.168247562,0.855012975,0.704212514,nan,0.704212514,nan
large_complex,SIS,0.3,0.2,0,0,0.31560922,0.855012975,0.31560922,0.855012975,nan,nan,nan,nan
large_complex,SIS,0.3,0.3,0,0,0.390147964,0.855012975,0.390147964,0.855012975,-0.626759369,nan,-0.626759369,nan
large_complex,SIS,0.3,0.4,0,0,0.038492267,0.855012975,0.038492267,0.855012975,0.208336756,nan,0.208336756,nan
large_complex,SIS,0.3,0.5,0,0,0.006019494,0.855012975,0.006019494,0.855012975,0.877315674,nan,0.877315674,nan
large_complex,SIS,0.3,0.6,0,0,0.005123811,0.855012975,0.005123811,0.855012975,0.885282923,nan,0.885282923,nan
large_complex,SIS,0.3,0.7,0,0,0.004413241,0.855012975,0.004413241,0.855012975,0.899001342,nan,0.899001342,nan
large_complex,SIS,0.3,0.8,0,0,0.004166084,0.855012975,0.004166084,0.855012975,0.896353304,nan,0.896353304,nan
large_complex,SIS,0.3,0.9,0,0,0.004265816,0.855012975,0.004265816,0.855012975,0.877982242,nan,0.877982242,nan
large_complex,SIS,0.3,1,0,0,0.004294231,0.855012975,0.004294231,0.855012975,0.866479426,nan,0.866479426,nan
large_complex,SIS,0.4,0.1,0,0,0.102028527,0.855012975,0.102028527,0.855012975,0.618202902,nan,0.618202902,nan
large_complex,SIS,0.4,0.2,0,0,0.187712511,0.855012975,0.187712511,0.855012975,0.35358954,nan,0.35358954,nan
large_complex,SIS,0.4,0.3,0,0,0.196516746,0.855012975,0.196516746,0.855012975,-0.220953289,nan,-0.220953289,nan
large_complex,SIS,0.4,0.4,0,0,0.075060691,0.855012975,0.075060691,0.855012975,-0.21228854,nan,-0.21228854,nan
large_complex,SIS,0.4,0.5,0,0,0.008121474,0.855012975,0.008121474,0.855012975,0.8275723,nan,0.8275723,nan
large_complex,SIS,0.4,0.6,0,0,0.006192089,0.855012975,0.006192089,0.855012975,0.859219569,nan,0.859219569,nan
large_complex,SIS,0.4,0.7,0,0,0.005590865,0.855012975,0.005590865,0.855012975,0.850324388,nan,0.850324388,nan
large_complex,SIS,0.4,0.8,0,0,0.004883135,0.855012975,0.004883135,0.855012975,0.866920871,nan,0.866920871,nan
large_complex,SIS,0.4,0.9,0,0,0.004495571,0.855012975,0.004495571,0.855012975,0.873519341,nan,0.873519341,nan
large_complex,SIS,0.4,1,0,0,0.00472143,0.855012975,0.00472143,0.855012975,0.844775998,nan,0.844775998,nan
large_complex,SIS,0.5,0.1,0,0,0.064526754,0.855012975,0.064526754,0.855012975,0.569990708,nan,0.569990708,nan
large_complex,SIS,0.5,0.2,0,0,0.125769596,0.855012975,0.125769596,0.855012975,0.303589341,nan,0.303589341,nan
large_complex,SIS,0.5,0.3,0,0,0.140723992,0.855012975,0.140723992,0.855012975,0.150621451,nan,0.150621451,nan
large_complex,SIS,0.5,0.4,0,0,0.157449485,0.855012975,0.157449485,0.855012975,0.069624167,nan,0.069624167,nan
large_complex,SIS,0.5,0.5,0,0,0.015704302,0.855012975,0.015704302,0.855012975,0.628298849,nan,0.628298849,nan
large_complex,SIS,0.5,0.6,0,0,0.008646572,0.855012975,0.008646572,0.855012975,0.773931236,nan,0.773931236,nan
large_complex,SIS,0.5,0.7,0,0,0.006761218,0.855012975,0.006761218,0.855012975,0.810448763,nan,0.810448763,nan
large_complex,SIS,0.5,0.8,0,0,0.005891641,0.855012975,0.005891641,0.855012975,0.822092057,nan,0.822092057,nan
large_complex,SIS,0.5,0.9,0,0,0.005356781,0.855012975,0.005356781,0.855012975,0.829151521,nan,0.829151521,nan
large_complex,SIS,0.5,1,0,0,0.005223315,0.855012975,0.005223315,0.855012975,0.818938031,nan,0.818938031,nan
large_complex,SIS,0.6,0.1,0,0,0.049456609,0.855012975,0.049456609,0.855012975,0.538493873,nan,0.538493873,nan
large_complex,SIS,0.6,0.2,0,0,0.095434618,0.855012975,0.095434618,0.855012975,0.284322481,nan,0.284322481,nan
large_complex,SIS,0.6,0.3,0,0,0.133992729,0.855012975,0.133992729,0.855012975,0.135433853,nan,0.135433853,nan
