Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SEIR,0.1,0.1,0.1,0.0,0.2712040242197215,0.007534468344159681,0.006548167726273418,0.26962304163625744,0.8299165054102701,0.872725795610252,0.9618158791579797,0.9337618109499818,-20493.116078116127,-20.307550502445885,0.8725068877263923,-156.96679417914544,False
large_simple,SEIR,0.1,0.1,0.2,0.0,0.27462271626530704,0.00436257707403039,0.008287119696875336,0.27337776695665955,0.9083030923596631,0.9139182069859346,0.945948007545437,0.9444239880664226,-18276.006107279005,-20.27817875853852,0.7887820837424311,-171.6896820597522,False
large_simple,SEIR,0.1,0.1,0.3,0.0,0.2895309481611815,0.003460015942413414,0.009004206050095925,0.2883759872578761,0.9053160683703233,0.8051909049758785,0.9414054164617877,0.9471039414317279,-53261.04145912085,-114.4783049167602,0.7434417110334876,-223.3221068222694,False
large_simple,SEIR,0.1,0.1,0.4,0.0,0.28074850915158794,0.002631464570226345,0.008991234332711406,0.2796965172622167,0.921999881290684,0.8364627120991052,0.9441342476880433,0.9530691992832133,-27585.94021527637,-65.66047275755659,0.7507387435315751,-195.75214953978818,False
large_simple,SEIR,0.1,0.1,0.5,0.0,0.29259740706250853,0.0022905676822876234,0.010532345228185438,0.2914700882090414,0.8741941845367014,0.6612318123689658,0.9216105098835903,0.9344169474808462,-72627.36664024308,-341.9861655641493,0.624356592585603,-251.9179673786658,False
large_simple,SEIR,0.1,0.1,0.6,0.0,0.2837567033953147,0.0018905633170819113,0.009351758020403307,0.2827240057714985,0.8072632335387523,0.6978872208224304,0.9388774459751955,0.9483245415006688,-35481.93944612406,-111.74830892029226,0.7403515358428179,-202.16579500082585,False
large_simple,SEIR,0.1,0.1,0.7,0.0,0.285274361524298,0.0016580043288918756,0.008994251779228758,0.28428750901610295,0.9318353809902064,0.7316190975323219,0.9495105256645062,0.9619390597024784,-37455.08673263437,-192.76597506585344,0.7556408981157372,-206.61710305617797,False
large_simple,SEIR,0.1,0.1,0.8,0.0,0.2867575052125179,0.0015052284271787997,0.009224857765682059,0.28578609463111343,0.8880380021026439,0.5806912944400859,0.9440431801174242,0.9570278131814888,-48651.20824623395,-590.2458829154068,0.7484584386198025,-210.07703340849818,False
large_simple,SEIR,0.1,0.1,0.9,0.0,0.27200017297358625,0.0013664648980732357,0.008706863771547389,0.27109181652571424,0.8944554681918515,0.4372046438444543,0.9517474600441361,0.9631043400731235,-23815.708981199485,-1703.9198216165514,0.7842428392209089,-175.06096861077043,False
large_simple,SEIR,0.1,0.1,1.0,0.0,0.28087277102996944,0.0012519501165141234,0.009417399708560975,0.27992343837275196,0.9026532905849122,nan,0.9419845890523767,0.9569126021095599,-43374.51886236192,-inf,0.7378262590521326,-201.19630054170074,False
large_simple,SEIR,0.1,0.2,0.1,0.0,0.12378685992359155,0.0041228013610086255,0.003411654346837403,0.12323302149252104,0.811246224444685,0.9684481417476438,0.97696996742622,0.9282049480174476,-77349.39079451011,-27.10475069301282,0.9193343040111223,-90.70381323365922,False
large_simple,SEIR,0.1,0.2,0.2,0.0,0.12982867230956094,0.0027535224984767577,0.0038584249442728666,0.1294151293599801,0.7013260764521569,0.8046620065801898,0.9690553540162823,0.9369023903133616,-252144.34781830382,-80.51832295382269,0.9015628488513329,-102.21047127313997,False
large_simple,SEIR,0.1,0.2,0.3,0.0,0.12987192940712414,0.002018666359614707,0.002869075177953575,0.12953644395378053,0.861805340170421,0.8819158771553004,0.9827005208567228,0.9685028976167784,-160505.66076122338,-101.9775169866607,0.9527575486261823,-89.00741110902035,False
large_simple,SEIR,0.1,0.2,0.4,0.0,0.131374577731293,0.0016342347669133694,0.0032579941653542,0.13108141527425152,0.9088481930240555,0.853373421127011,0.9810904325170237,0.9706538350333616,-153158.03691296605,-183.44256447106952,0.933961942248678,-99.53623998275903,False
large_simple,SEIR,0.1,0.2,0.5,0.0,0.1328638536231587,0.0014136216055233807,0.0038805107378784534,0.13256625878756872,0.8043751754875372,0.5402380087597467,0.9741496211236544,0.964481520964334,-298431.6607571846,-661.9259093452292,0.8998532413151561,-111.42951877385603,False
large_simple,SEIR,0.1,0.2,0.6,0.0,0.12547602286886322,0.0011830177856639857,0.0037415276917641127,0.1251984199646767,0.8696472287744201,0.6930623750368236,0.9733472593362196,0.9663037691402065,-88244.63796192476,-242.62046806108364,0.9134164696724127,-89.44533404959587,False
large_simple,SEIR,0.1,0.2,0.7,0.0,0.13139679181118002,0.001056231003826477,0.004338608656111784,0.13110280225765658,0.5620892524344051,0.4427968067142623,0.9628426999844927,0.956577225222157,-425492.5774648372,-312.1048498482648,0.8798419231749637,-105.75768865171483,False
large_simple,SEIR,0.1,0.2,0.8,0.0,0.1195673492250001,0.0009174427730462944,0.003610091581217653,0.11931578187259756,0.8533902818570328,0.6882284855549391,0.9771212410881759,0.9710101389288558,-32315.963889928382,-160.81866749733385,0.9190244194391033,-78.82811698213602,False
large_simple,SEIR,0.1,0.2,0.9,0.0,0.12992725544612183,0.0008602549985187628,0.003951392685741483,0.1296640634464671,0.8573949488146356,0.4549047773816691,0.9727566415661216,0.9687449154920509,-137643.68600633615,-1349.0705328964716,0.8995874839481018,-101.51834092694293,False
large_simple,SEIR,0.1,0.2,1.0,0.0,0.13436755448494558,0.00078902825038425,0.0036714180903167025,0.13410175611417655,0.7200503317556086,nan,0.975666071450774,0.9734980335481166,-867027.0322016114,-inf,0.9177522594412908,-106.77163728616121,False
large_simple,SEIR,0.1,0.3,0.1,0.0,0.07510897984097151,0.0030093597391794486,0.002154508427027913,0.0747821619293474,0.8784441567639896,0.823249324660626,0.9857651311784659,0.9400800104266331,-59975.29567119039,-47.31691078582359,0.9580043888968122,-44.80902531867809,False
large_simple,SEIR,0.1,0.3,0.2,0.0,0.08699926990539612,0.0021159942803991704,0.002171804081992906,0.08676550729186082,nan,nan,0.9856562445075813,0.9567384942279584,-inf,-inf,0.9584833936447695,-65.26356185659637,False
large_simple,SEIR,0.1,0.3,0.3,0.0,0.08109792102720002,0.0015139814149441677,0.0029102888328356854,0.08092659654276224,0.8420373886229381,0.7882083593272282,0.9746439077567434,0.9518679366398058,-300137.98910178593,-348.98530901823295,0.9197336073385693,-58.95774306309982,False
large_simple,SEIR,0.1,0.3,0.4,0.0,0.07666643840324582,0.0011844608371751877,0.0021461198585821825,0.0765159651820767,0.8565032230615698,0.8030664586367059,0.9874372647236969,0.9743687639598234,-67894.3333030071,-124.06862844762253,0.9592472452877856,-47.58053375136358,False
large_simple,SEIR,0.1,0.3,0.5,0.0,0.07667069336454023,0.0009545036801912999,0.0025022768196710965,0.07652870910818069,0.7412903363670074,0.7370627838906327,0.9804222642465583,0.9685180158682761,-92435.37006273506,-36.806833821277216,0.9456366702265683,-47.04856212914018,False
large_simple,SEIR,0.1,0.3,0.6,0.0,0.07815422923984523,0.0008729937136358111,0.0022826670112538233,0.07801314259540118,0.7288085779520339,0.6002712169051335,0.9847226614969115,0.9757891423200731,-146595.90089501895,-105.9747457506938,0.9547951222995937,-49.68869610254142,False
large_simple,SEIR,0.1,0.3,0.7,0.0,0.07371706315934957,0.0007614699668955892,0.0022174878862246373,0.0735970542675369,0.8638229247612044,0.7061702766368503,0.9854237699923643,0.9775867776727493,-42747.6634050616,-95.20830666034266,0.9579476536582555,-42.19677358714155,False
large_simple,SEIR,0.1,0.3,0.8,0.0,0.07667902612155113,0.0006750310252098136,0.002277281313811909,0.07655554196390352,0.7974190664910451,0.5719306074425866,0.9851310373411517,0.9783840374113292,-97521.7671171446,-47.89619040889956,0.9551080836854916,-47.23814176381656,False
large_simple,SEIR,0.1,0.3,0.9,0.0,0.07816014527551639,0.0006380415813960669,0.002766617631726553,0.078032173305443,0.6825487677106931,0.625605353663648,0.9774760921055362,0.9705724190688656,-150553.65976182342,-741.6770681717187,0.9312269765964686,-51.97007960101035,False
large_simple,SEIR,0.1,0.3,1.0,0.0,0.07816251976374225,0.0005926367035117867,0.0026943091771074287,0.07803885551510077,0.8717683399396648,nan,0.9790352983541668,0.9735207483505057,-116155.98684616885,-inf,0.9351833782488297,-51.2211718652008,False
large_simple,SEIR,0.1,0.4,0.1,0.0,0.059770758141909665,0.0024324988779422514,0.002135539268537732,0.05954820584398619,0.65471104439308,0.9067364323490467,0.9820417751389282,0.9348570571262704,-814276.2112736747,-247.06940413020732,0.9466221838761514,-39.47412233050947,False
large_simple,SEIR,0.1,0.4,0.2,0.0,0.06128075822279867,0.001586018840773119,0.002021069700431847,0.061138386672353315,0.6687966804097231,0.8235896597956988,0.9845278628515853,0.9575506008938044,-3423756.55174461,-366.9972810973928,0.9532476555178083,-41.18798612738911,False
large_simple,SEIR,0.1,0.4,0.3,0.0,0.06277201288314635,0.0012473808397502038,0.0023731086434996824,0.06265680317402661,nan,nan,0.977664851561749,0.9549800246445443,-inf,-inf,0.9348704840625459,-44.40242752554913,False
large_simple,SEIR,0.1,0.4,0.4,0.0,0.05389528163424753,0.000979307803553355,0.0021044192009030947,0.05381141893693983,0.9020893392571122,0.4697310188299823,0.9834287291397428,0.9679225097916716,-58898.3899519027,-173.94317668885645,0.9495582484365592,-30.251422319462478,False
large_simple,SEIR,0.1,0.4,0.5,0.0,0.05981961779618438,0.000839069078910992,0.002089329826745174,0.059730027343604816,0.8308903147126021,0.5279539073840224,0.9832953087575316,0.9709507805618341,-652747.4448060013,-512.7052488095142,0.9509769401255262,-38.31694894210128,False
large_simple,SEIR,0.1,0.4,0.6,0.0,0.05242011718111592,0.0006559671828446018,0.0019472275978151708,0.05234413731252068,0.90577770973347,0.942270192463685,0.9858105030241546,0.9771386876154214,-32988.84663728076,-45.26328194243959,0.9579779512734852,-27.37323080895313,False
large_simple,SEIR,0.1,0.4,0.7,0.0,0.0598235528136638,0.0006436075456082713,0.002187952253687397,0.05973825271093932,0.9107285917002652,0.5932087412151713,0.9817705754753544,0.9732792482782889,-544263.6646655955,-754.6910922044797,0.9460889724627193,-38.49077305350074,False
large_simple,SEIR,0.1,0.4,0.8,0.0,0.0613047641903297,0.0005773489298527029,0.002191685371935013,0.0612241769876765,0.8382331680332308,0.516216716502776,0.9833398552075048,0.9761008694048738,-1714076.7201970557,-1214.6021639754051,0.9444118757226827,-41.947160011279365,False
large_simple,SEIR,0.1,0.4,0.9,0.0,0.05686548538802517,0.0005196878316887535,0.0019477137825938354,0.0567880111322178,0.9561799440860134,0.5257798873432615,0.9858193630305913,0.9804765393886058,-89456.76420842632,-983.9174462906052,0.9588388091259469,-32.645600655947455,False
large_simple,SEIR,0.1,0.4,1.0,0.0,0.05834516364836919,0.00048224637959321876,0.002240289960367532,0.05826792847707878,0.9158711878263633,nan,0.9818454483603765,0.975803305191592,-221858.46845245842,-inf,0.9430038197964441,-36.587438055211116,False
large_simple,SEIR,0.1,0.5,0.1,0.0,0.046040828746080065,0.001924283254995943,0.0018916293420126983,0.04588805137601101,0.7192380146767435,0.8736305320411697,0.9837764089805966,0.9460522776443998,-483147.9237040757,-112.06295459030125,0.9521224625673892,-26.521181101061188,False
large_simple,SEIR,0.1,0.5,0.2,0.0,0.04605966947581844,0.0012662391119439577,0.0018135514058081757,0.045968950977520115,0.9294072548803842,0.9483801957658754,0.984935691367438,0.9620906675104337,-322630.9484249339,-171.90688242622252,0.9570507034791014,-25.970201908054538,False
large_simple,SEIR,0.1,0.5,0.3,0.0,0.046065860003339225,0.0010283753122834808,0.0021199735892489884,0.046002083982724214,0.8772935948682948,0.4153144422338834,0.9786105589132092,0.9571476837690696,-387093.4501979033,-3855.719188315816,0.9404768762727262,-26.54788421042672,False
large_simple,SEIR,0.1,0.5,0.4,0.0,0.04903089024697137,0.000846624158387684,0.002258371742818044,0.04897287942557303,nan,nan,0.975639651046882,0.9581710853479704,-inf,-inf,0.9314903535569033,-31.21603906735004,False
large_simple,SEIR,0.1,0.5,0.5,0.0,0.047552268386896336,0.0006709193926139741,0.0022576278412165997,0.047498692576942024,0.7467871430515033,0.8618921842099564,0.9758666034741316,0.9625819510148547,-2061564.8938855445,-125.44862782939639,0.931313096433931,-29.021092005293152,False
large_simple,SEIR,0.1,0.5,0.6,0.0,0.04459388988425522,0.0005632321366409291,0.0026082863827152614,0.04456419459961567,0.9522001568088947,0.8141235793957406,0.9675808223327867,0.9565731646022994,-139656.4646392956,-49.36281072632626,0.9047550236906887,-25.8503200500881,False
large_simple,SEIR,0.1,0.5,0.7,0.0,0.04903540153621632,0.0005517475832415192,0.002660141285562564,0.04900264125029375,nan,nan,0.96733095865391,0.9555734339588792,-inf,-inf,0.8990949318853557,-33.2406934308791,False
large_simple,SEIR,0.1,0.5,0.8,0.0,0.046074449363630615,0.0004779482499264706,0.002682608110500449,0.04605021342366225,0.7498414605860326,0.4908819902709151,0.9666471192284026,0.9558866629107703,-483853.8057009062,-207.26509765389957,0.8980697276585154,-28.528270361409188,False
large_simple,SEIR,0.1,0.5,0.9,0.0,0.046075143061544026,0.0004472445568051229,0.002213212055636104,0.04603645653443071,0.8917633279981869,nan,0.9782741868768053,0.9703610952300232,-387249.4782142916,-inf,0.933962091353246,-27.105467710217113,False
large_simple,SEIR,0.1,0.5,1.0,0.0,0.04607534564331355,0.0004097239645501445,0.002425471193072881,0.046037594099133466,0.7525315630083796,nan,0.9724748478444756,0.9643974607139822,-483872.6306008623,-inf,0.9205721881796395,-27.23793065103352,False
large_simple,SEIR,0.1,0.6,0.1,0.0,0.038702581767405965,0.0016110030029342461,0.0024154738013955554,0.038619861673584555,0.7716223455323303,0.9236976053177833,0.9677893763468903,0.9313293151147799,-1365633.9300303105,-108.31085845094496,0.9089525608566158,-21.986771376561677,False
large_simple,SEIR,0.1,0.6,0.2,0.0,0.040195620992435635,0.0011549899625609998,0.0021007450037908723,0.04014075205144738,nan,nan,0.9760681529106267,0.9497504471138903,-inf,-inf,0.9341837181732584,-23.030216028833944,False
large_simple,SEIR,0.1,0.6,0.3,0.0,0.03723835663562334,0.0008219370816335433,0.0021053926679600802,0.03721347863551535,0.7859338734817116,0.9395905727138351,0.9764464526330536,0.9585732429711267,-316063.53363805375,-144.36976673863668,0.9336183134597122,-19.33249506183103,False
large_simple,SEIR,0.1,0.6,0.4,0.0,0.040202596069082566,0.000725910694232628,0.0022052482325248235,0.0401752409225521,nan,nan,0.9734506677268212,0.9565702718790096,-inf,-inf,0.9277934543034048,-22.9650634674896,False
large_simple,SEIR,0.1,0.6,0.5,0.0,0.04020413343262967,0.0006173906696190755,0.0025026242526087115,0.040194520107716146,nan,nan,0.9658883601110241,0.9505628748443227,-inf,-inf,0.9031669259408037,-23.97848632997514,False
large_simple,SEIR,0.1,0.6,0.6,0.0,0.03872429901278956,0.0005297256646739579,0.0021391372330938256,0.038706232958559864,0.793409339907786,0.46785065131319287,0.9757353301041063,0.9641402533991692,-1367166.9621175292,-1022.3324911685307,0.9319965807783157,-21.06876894454164,False
large_simple,SEIR,0.1,0.6,0.7,0.0,0.03872523178616323,0.00047638077026414857,0.0024508273512088307,0.038718544688570784,0.8999855985367604,nan,0.9675518793165686,0.9564223687005879,-683958.0637852574,-inf,0.9081686749308499,-21.68222975850521,False
large_simple,SEIR,0.1,0.6,0.8,0.0,0.03724485684643509,0.00041162853762077443,0.002353941935834358,0.03723710528787882,0.9256469257270636,0.7203801712866884,0.9700162739616618,0.960648265968738,-253040.1756936268,-308.1099615245524,0.9168525384017079,-19.42359245640476,False
large_simple,SEIR,0.1,0.6,0.9,0.0,0.035764668768023915,0.0003805095765155904,0.001967157074213723,0.03574710372529468,0.9288139501786077,0.5732255131475077,0.9800890500316486,0.9730969868971121,-89746.09402223318,-527.0145826454525,0.9432785031206872,-17.208782870222084,False
large_simple,SEIR,0.1,0.6,1.0,0.0,0.03724673754577516,0.0003582018975104982,0.00219874983294909,0.03722858438859744,0.9592849440900678,nan,0.9733150552799402,0.9668318920222914,-180921.3407404199,-inf,0.9296305090530994,-18.791484089110146,False
large_simple,SEIR,0.1,0.7,0.1,0.0,0.03404672863047144,0.0015115989419738631,0.0024885045079354354,0.03399337424825883,nan,nan,0.961508254329814,0.9251851948225326,-inf,-inf,0.8976747943979699,-18.09388548650876,False
large_simple,SEIR,0.1,0.7,0.2,0.0,0.03257452796249775,0.0009722854950814983,0.0023481373824369776,0.03257019824182951,0.8181811867524406,0.6030348914490419,0.9663364543041013,0.9432790167450533,-967409.9638231836,-382.3948218061193,0.9100586619650867,-16.107324487757708,False
large_simple,SEIR,0.1,0.7,0.3,0.0,0.03405862592482475,0.0007708625519303593,0.002684653274954529,0.03408487925831786,nan,nan,0.9550030154125317,0.9335945126725891,-inf,-inf,0.8799967275896399,-18.343729059476843,False
large_simple,SEIR,0.1,0.7,0.4,0.0,0.03109887671914634,0.0005876209744389337,0.0022254183913263535,0.031109995492639046,0.9440825669827879,0.8735499573274393,0.9701383369057934,0.9561078707288317,-176419.0673349937,-125.0882291117898,0.920679327373795,-14.18119723732801,False
large_simple,SEIR,0.1,0.7,0.5,0.0,0.032580597241134435,0.0005250900915399846,0.0023381490568490106,0.032595125193217694,0.8268535766324713,0.4601262655013402,0.9667889036328492,0.9531116058865166,-967770.4929881443,-250.37517694619964,0.9118379187235375,-15.95414509258319,False
large_simple,SEIR,0.1,0.7,0.6,0.0,0.0340623251675864,0.00047165733635863534,0.0024695463731809857,0.03407881183381415,nan,nan,0.9625014837830779,0.949519126705814,-inf,-inf,0.9009931662384857,-17.85383446172064,False
large_simple,SEIR,0.1,0.7,0.7,0.0,0.032581943268825506,0.00042043428321575247,0.0024449715181823635,0.032604068343133695,0.830806484360542,nan,0.9633480218287078,0.9516075908202155,-967850.4592408926,-inf,0.9029508246062843,-16.12043292069696,False
large_simple,SEIR,0.1,0.7,0.8,0.0,0.03406333743963726,0.00037977483572065185,0.002606190593674528,0.03409046943127543,nan,nan,0.9581332539470346,0.9474786730278915,-inf,-inf,0.8872463661253701,-18.29230701439378,False
large_simple,SEIR,0.1,0.7,0.9,0.0,0.031101898033223593,0.0003369340056413103,0.0021665038163878247,0.031114410694988364,0.8354521750710394,0.6012859485427586,0.9717265703083053,0.9631384544990401,-220478.66378972682,-413.00389250030355,0.9249945466075657,-14.209158535598423,False
large_simple,SEIR,0.1,0.7,1.0,0.0,0.03110228368592168,0.0003195794937893237,0.00245431891581038,0.031130428062067693,0.8381406058139975,nan,0.9625644689375624,0.9532786325921022,-220484.13156563454,-inf,0.9017445392609496,-14.556017346862888,False
large_simple,SEIR,0.1,0.8,0.1,0.0,0.02953245477629478,0.0013271246850607855,0.002850755767503679,0.02954533732774732,nan,nan,0.9436906949141141,0.9098800006452084,-inf,-inf,0.8582529310383141,-14.225514236015364,False
large_simple,SEIR,0.1,0.8,0.2,0.0,0.029538998344832867,0.0008829020693307839,0.0027327507883190896,0.029586509603773133,nan,nan,0.9488200596297043,0.9245688287326443,-inf,-inf,0.870730549139469,-14.152465857761664,False
large_simple,SEIR,0.1,0.8,0.3,0.0,0.02954139189614209,0.0006822880278172612,0.002652212076495591,0.02959266979392968,nan,nan,0.952159022559385,0.9324944656252242,-inf,-inf,0.8788127972036249,-14.087197001043466,False
large_simple,SEIR,0.1,0.8,0.4,0.0,0.02954271294173922,0.0005628030085892117,0.0028387940484675255,0.0296140607556714,nan,nan,0.9445787898587094,0.9269386846105119,-inf,-inf,0.8598223365127282,-14.254815898217291,False
large_simple,SEIR,0.1,0.8,0.5,0.0,0.02954360626897589,0.0004819912284196472,0.002917768798778341,0.029623083535529213,nan,nan,0.9411578522491624,0.9253651046491601,-inf,-inf,0.8511710228685787,-14.340738670677224,False
large_simple,SEIR,0.1,0.8,0.6,0.0,0.029544256893750696,0.00042342781860557583,0.002839606258201836,0.029615175243873054,nan,nan,0.9443787925505386,0.9303110187888298,-inf,-inf,0.8598185189814115,-14.247653299553829,False
large_simple,SEIR,0.1,0.8,0.7,0.0,0.02954478587817762,0.0003784069635697895,0.0026564235394356647,0.0295997982032934,nan,nan,0.9517069075218125,0.9396558602060116,-inf,-inf,0.8784889076806328,-14.08685740112753,False
large_simple,SEIR,0.1,0.8,0.8,0.0,0.029545236705124513,0.00034250465861923926,0.0029708863851351853,0.02962695934871222,nan,nan,0.9382511219710639,0.9261853383709961,-inf,-inf,0.8451339755216452,-14.401329983863512,False
large_simple,SEIR,0.1,0.8,0.9,0.0,0.028064608399704143,0.00030317236824861546,0.0026215753440072256,0.028124365983995578,0.86640636825837,0.6373128563379025,0.9527389838060534,0.9430243325318721,-718078.810323037,-334.19224847344526,0.8814775340825697,-12.513661548723194,False
large_simple,SEIR,0.1,0.8,1.0,0.0,0.02954572154662876,0.00028967761598973753,0.0027310694063516178,0.029605331636753753,nan,nan,0.9484033074801125,0.9388297155760863,-inf,-inf,0.8705007788312454,-14.21743806027575,False
large_simple,SEIR,0.1,0.9,0.1,0.0,0.026073380343787898,0.0011837326139539062,0.0029791491987921845,0.026134114318467634,nan,nan,0.9338143188632797,0.9031978489002276,-inf,-inf,0.8416066334071215,-11.188999391118436,False
