Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SIR,0.1,0.1,0.0,0.0,0.2881399275400155,0.8550129752984276,0.010778478006165309,0.28719935122292334,0.8895526034664129,nan,0.9430640041102067,0.9556138059825068,-39611.65135114414,-inf,0.61525414336728,-233.10263372197502,False
large_simple,SIR,0.1,0.2,0.0,0.0,0.12530430027711997,0.8550129752984276,0.0042893146858647285,0.12506422817646137,0.7986171991822938,nan,0.973745501308934,0.9737007514365488,-97505.66360497462,-inf,0.8887656837016644,-88.56728313499269,False
large_simple,SIR,0.1,0.3,0.0,0.0,0.07812657795428075,0.8550129752984276,0.002920565904996525,0.07802016671394048,0.808923507593396,nan,0.9798242843266479,0.9790460152847952,-121044.77343021728,-inf,0.9251515929551785,-50.45945475855854,False
large_simple,SIR,0.1,0.4,0.0,0.0,0.05389011164577276,0.8550129752984276,0.002826286143532341,0.05383362821523761,0.9484983885757331,nan,0.9727079139829493,0.9729091410651715,-50010.83663336694,-inf,0.9078847550749554,-30.781989046959787,False
large_simple,SIR,0.1,0.5,0.0,0.0,0.047548490272787715,0.8550129752984276,0.002739325214958182,0.047515073138791185,0.7547458802319904,nan,0.9673070878306523,0.9672928384371617,-2061237.316588593,-inf,0.8977562629047924,-29.55598710003945,False
large_simple,SIR,0.1,0.6,0.0,0.0,0.03575975542285847,0.8550129752984276,0.0022942570110751283,0.03574797058548652,0.8001952757502308,nan,0.9732607941178169,0.9725587103160301,-129538.23054042588,-inf,0.9239378630465792,-17.077365584179855,False
large_simple,SIR,0.1,0.7,0.0,0.0,0.03406091646417157,0.8550129752984276,0.0028432618192791273,0.03409133764099301,nan,nan,0.9516638993392912,0.9518563393735499,-inf,-inf,0.8658966856665066,-18.27941665245805,False
large_simple,SIR,0.1,0.8,0.0,0.0,0.029543441778407772,0.8550129752984276,0.003106028313571863,0.029618994990236822,nan,nan,0.9351810147289853,0.9353412572340373,-inf,-inf,0.8321081369434087,-14.267202442206077,False
large_simple,SIR,0.1,0.9,0.0,0.0,0.026082042351804332,0.8550129752984276,0.0033654607930893483,0.02621336689341893,nan,nan,0.9172312554286857,0.9173655950671352,-inf,-inf,0.7973276071814563,-11.29563991815956,False
large_simple,SIR,0.1,1.0,0.0,0.0,0.023345731077204425,0.8550129752984276,0.003482815108838811,0.023522042035152773,nan,nan,0.9059700523704394,0.9060805538746523,-inf,-inf,0.7815507558955599,-8.964138376250677,False
large_simple,SIR,0.2,0.1,0.0,0.0,0.44044195195096864,0.8550129752984276,0.014043632647087278,0.43914486128310914,0.9809822776433954,nan,0.9603516101771017,0.9885804965021981,-6455.4552381452495,-inf,0.5531201293454739,-278.31614613843425,False
large_simple,SIR,0.2,0.2,0.0,0.0,0.29049811023409106,0.8550129752984276,0.007359596146932179,0.2900550108029206,0.8204346712535739,nan,0.9470250064204957,0.9586015799080786,-119679.29296946032,-inf,0.6837027512616483,-437.45735477760564,False
