Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SI,0.1,0.0,0.0,0.0,0.030702398550557026,0.8550129752984276,0.03070239855055702,0.8550129752984276,0.9239966117589756,nan,0.9239966117589753,nan,0.7886106850591996,-inf,0.7886106850591997,-inf,False
large_simple,SI,0.2,0.0,0.0,0.0,0.02915075792369275,0.8550129752984276,0.02915075792369273,0.8550129752984276,0.880665240594331,nan,0.8806652405943308,nan,0.7071643255520166,-inf,0.7071643255520172,-inf,False
large_simple,SI,0.3,0.0,0.0,0.0,0.026070646869521655,0.8550129752984276,0.026070646869521704,0.8550129752984276,0.8642674114953691,nan,0.864267411495371,nan,0.6732521951836247,-inf,0.6732521951836242,-inf,False
large_simple,SI,0.4,0.0,0.0,0.0,0.024363927703614154,0.8550129752984276,0.02436392770361412,0.8550129752984276,0.8389520285139498,nan,0.83895202851395,nan,0.6439640637363718,-inf,0.6439640637363728,-inf,False
large_simple,SI,0.5,0.0,0.0,0.0,0.022071599464456367,0.8550129752984276,0.022071599464456335,0.8550129752984276,0.838308457778173,nan,0.8383084577781718,nan,0.6417956309898558,-inf,0.6417956309898565,-inf,False
large_simple,SI,0.6,0.0,0.0,0.0,0.021576720915503094,0.8550129752984276,0.021576720915503125,0.8550129752984276,0.8248472903662202,nan,0.8248472903662184,nan,0.6264129754343617,-inf,0.6264129754343601,-inf,False
large_simple,SI,0.7,0.0,0.0,0.0,0.021418398749880656,0.8550129752984276,0.021418398749880562,0.8550129752984276,0.8073788348194839,nan,0.8073788348194805,nan,0.5956289321089916,-inf,0.5956289321089956,-inf,False
large_simple,SI,0.8,0.0,0.0,0.0,0.021643181568752723,0.8550129752984276,0.021643181568752865,0.8550129752984276,0.7975305631135751,nan,0.7975305631135827,nan,0.575674948730513,-inf,0.5756749487305077,-inf,False
large_simple,SI,0.9,0.0,0.0,0.0,0.01940256674767542,0.8550129752984276,0.01940256674767541,0.8550129752984276,0.8034399421927542,nan,0.8034399421927527,nan,0.5976393452699914,-inf,0.5976393452699911,-inf,False
large_simple,SI,1.0,0.0,0.0,0.0,0.019679128036957184,0.8550129752984276,0.0196791280369571,0.8550129752984276,0.7874269847978564,nan,0.7874269847978527,nan,0.5719110651238419,-inf,0.5719110651238446,-inf,False
