Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SEIRS,0.1,0.1,0.1,0.1,0.26760094,0.08615425,0.100089077,0.088827045,0.445290942,0.311722225,0.477295375,0.307209758
small_simple,SEIRS,0.1,0.1,0.1,0.2,0.292655373,0.117632375,0.129126691,0.051804842,-0.000203708,-0.089856065,0.107228152,0.069939484
small_simple,SEIRS,0.1,0.1,0.1,0.3,0.248793496,0.109786907,0.115428502,0.029531519,0.239639852,0.219620568,0.28430628,0.109801279
small_simple,SEIRS,0.1,0.1,0.1,0.4,0.263721884,0.118432326,0.129396105,0.021441648,-0.091858031,-0.165629915,0.048421984,-0.025093892
small_simple,SEIRS,0.1,0.1,0.1,0.5,0.300682996,0.136240045,0.153756762,0.017233431,0.239290563,0.180900633,0.27907502,0.104658237
small_simple,SEIRS,0.1,0.1,0.1,0.6,0.295267668,0.133508855,0.15586044,0.012584064,0.078588568,-0.062828266,0.207243256,0.038865821
small_simple,SEIRS,0.1,0.1,0.1,0.7,0.275726422,0.129972792,0.143750562,0.008498421,-0.147948025,-0.145356625,-0.037012312,0.116687765
small_simple,SEIRS,0.1,0.1,0.1,0.8,0.286431352,0.131199061,0.155302065,0.006409266,-0.08307286,-0.128396401,0.022874772,-0.023022574
small_simple,SEIRS,0.1,0.1,0.1,0.9,0.293443326,0.137540234,0.158297908,0.004355549,0.103752355,0.05972177,0.170551742,0.019902945
small_simple,SEIRS,0.1,0.1,0.1,1,0.262196571,0.125111899,0.141289963,0.002961203,0.058334398,0.066542874,0.09729456,nan
small_simple,SEIRS,0.1,0.1,0.2,0.1,0.175404034,0.03203935,0.079668548,0.069136439,0.588758434,0.575384644,0.588180059,0.539539584
small_simple,SEIRS,0.1,0.1,0.2,0.2,0.288253992,0.065711209,0.163428816,0.065486909,0.004025044,-0.020489107,0.075330038,-0.058466754
small_simple,SEIRS,0.1,0.1,0.2,0.3,0.278863604,0.068978519,0.174536604,0.042450296,0.162174028,0.0699112,0.211296895,0.026813149
small_simple,SEIRS,0.1,0.1,0.2,0.4,0.264352849,0.068571893,0.174851585,0.027395679,0.195061162,0.054614996,0.210722618,0.154622245
small_simple,SEIRS,0.1,0.1,0.2,0.5,0.27669604,0.074972328,0.188094874,0.020285835,0.04838481,-0.039769817,0.089189297,0.066642071
small_simple,SEIRS,0.1,0.1,0.2,0.6,0.270524375,0.07362915,0.189225116,0.014321082,0.287505523,0.214903522,0.258484584,0.11176948
small_simple,SEIRS,0.1,0.1,0.2,0.7,0.259382345,0.072082784,0.184290975,0.009914227,0.334239261,0.279015954,0.323659489,0.100026506
small_simple,SEIRS,0.1,0.1,0.2,0.8,0.263285039,0.075061736,0.187583585,0.007380553,-0.054290619,-0.086729566,0.003597227,-0.003464081
small_simple,SEIRS,0.1,0.1,0.2,0.9,0.291053735,0.083631558,0.209730097,0.004977164,0.13124164,0.058870072,0.16352813,0.002706325
small_simple,SEIRS,0.1,0.1,0.2,1,0.275968314,0.079123101,0.201100511,0.003286071,0.139033445,0.09267376,0.156208215,nan
small_simple,SEIRS,0.1,0.1,0.3,0.1,0.221656626,0.028296947,0.10684163,0.09341825,0.286498132,0.092864765,0.321491056,0.267647378
small_simple,SEIRS,0.1,0.1,0.3,0.2,0.259303826,0.039552689,0.161251879,0.065645049,0.285791867,0.139801832,0.293321213,0.208246485
small_simple,SEIRS,0.1,0.1,0.3,0.3,0.131018112,0.021499964,0.090893609,0.024146757,0.527062928,0.526381096,0.505816793,0.463746041
small_simple,SEIRS,0.1,0.1,0.3,0.4,0.270132164,0.046272632,0.199048739,0.031235091,0.0445343,-0.018832552,0.061071341,0.064914945
small_simple,SEIRS,0.1,0.1,0.3,0.5,0.246088997,0.045708273,0.186162676,0.02105357,0.238042249,0.048792666,0.276671189,0.069297589
small_simple,SEIRS,0.1,0.1,0.3,0.6,0.262340047,0.047864723,0.205314726,0.015590542,0.050773785,-0.000778132,0.06677804,0.036574315
small_simple,SEIRS,0.1,0.1,0.3,0.7,0.255790628,0.048529725,0.203470244,0.010218271,0.019867915,0.01680836,0.026353972,0.055154879
small_simple,SEIRS,0.1,0.1,0.3,0.8,0.289037739,0.05386891,0.234188987,0.008201917,0.104470013,0.054984376,0.114816768,0.007774557
small_simple,SEIRS,0.1,0.1,0.3,0.9,0.268996634,0.052904352,0.218398819,0.005050137,0.124971091,0.110449759,0.120095898,0.055292609
small_simple,SEIRS,0.1,0.1,0.3,1,0.274154271,0.053059029,0.225524298,0.003433367,0.227993954,0.167969615,0.225869946,nan
small_simple,SEIRS,0.1,0.1,0.4,0.1,0.229360911,0.019214713,0.11624094,0.101236203,0.386132418,0.166409423,0.375073714,0.382740884
small_simple,SEIRS,0.1,0.1,0.4,0.2,0.253682259,0.026773026,0.167624757,0.066230607,0.33023871,0.226474372,0.312567225,0.236901919
small_simple,SEIRS,0.1,0.1,0.4,0.3,0.248969065,0.029380741,0.183845598,0.043087386,0.221812234,0.091090477,0.227486059,0.132292816
small_simple,SEIRS,0.1,0.1,0.4,0.4,0.276871294,0.033254298,0.215949152,0.0344437,0.317581612,0.182672445,0.30129924,0.187729815
small_simple,SEIRS,0.1,0.1,0.4,0.5,0.249769723,0.031636657,0.202938884,0.02183092,0.167369889,0.115015085,0.172816664,0.043965756
small_simple,SEIRS,0.1,0.1,0.4,0.6,0.283660133,0.03670884,0.236125758,0.017775687,-0.002053846,-0.030649382,0.005149436,0.03619462
small_simple,SEIRS,0.1,0.1,0.4,0.7,0.278650119,0.036315913,0.237216306,0.012217671,0.044807256,-0.0550838,0.063323876,0.058309397
small_simple,SEIRS,0.1,0.1,0.4,0.8,0.261664464,0.035497785,0.224914102,0.007837672,0.028885746,0.100260509,0.013139279,0.04443353
small_simple,SEIRS,0.1,0.1,0.4,0.9,0.274486767,0.036824641,0.239739106,0.005313973,0.209772063,0.158194457,0.200611074,0.020928659
small_simple,SEIRS,0.1,0.1,0.4,1,0.262809974,0.036118415,0.231262017,0.003517705,0.2887081,0.178390872,0.28531865,nan
small_simple,SEIRS,0.1,0.1,0.5,0.1,0.234509746,0.01339851,0.122599469,0.1062996,0.393878801,0.191540351,0.38507388,0.358803833
small_simple,SEIRS,0.1,0.1,0.5,0.2,0.24914877,0.018898199,0.169317678,0.068079667,0.388490947,0.097196853,0.407288144,0.200811873
small_simple,SEIRS,0.1,0.1,0.5,0.3,0.088400497,0.006976862,0.068372572,0.017433861,0.666969591,0.592951617,0.654162885,0.629615459
small_simple,SEIRS,0.1,0.1,0.5,0.4,0.271063266,0.023987285,0.219623111,0.034340105,0.094417965,0.02916464,0.091193608,0.105926265
small_simple,SEIRS,0.1,0.1,0.5,0.5,0.240248468,0.021325157,0.203916895,0.021962936,0.337092094,0.181661753,0.332070785,0.204505238
small_simple,SEIRS,0.1,0.1,0.5,0.6,0.270557694,0.025047149,0.234679851,0.017730777,0.061484636,0.05337006,0.053673825,0.048058144
small_simple,SEIRS,0.1,0.1,0.5,0.7,0.257340228,0.024189754,0.228156077,0.012110896,0.213026924,0.114623408,0.208785165,0.089642183
small_simple,SEIRS,0.1,0.1,0.5,0.8,0.238259208,0.023594424,0.213646603,0.007715865,0.181235363,0.091995066,0.17867827,0.106692032
small_simple,SEIRS,0.1,0.1,0.5,0.9,0.277162374,0.026582077,0.252363262,0.005594462,0.000888638,0.003780502,0.003829161,0.022113892
small_simple,SEIRS,0.1,0.1,0.5,1,0.28495234,0.027141383,0.262595968,0.003572188,0.247122248,0.128775453,0.239038462,nan
small_simple,SEIRS,0.1,0.1,0.6,0.1,0.124121746,0.005337325,0.066300999,0.057111344,0.589987287,0.451309171,0.565558726,0.592865832
small_simple,SEIRS,0.1,0.1,0.6,0.2,0.243558037,0.013415481,0.170069931,0.066938432,0.227751741,0.031520216,0.25409025,0.134147932
small_simple,SEIRS,0.1,0.1,0.6,0.3,0.233920352,0.013853789,0.183486782,0.042952296,0.310891176,0.135341829,0.287688088,0.302734131
small_simple,SEIRS,0.1,0.1,0.6,0.4,0.257674361,0.015565277,0.214806525,0.034129,0.252048931,0.092588536,0.250664455,0.105300601
