Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.1,0.1,0,0.1,0.123791654,7.695116778,0.068737835,0.057997949,0.653442785,nan,0.644999322,0.623890582,,,,
small_simple,SIRS,0.1,0.1,0,0.2,0.256098281,7.695116778,0.184895317,0.075049722,0.184805833,nan,0.185269659,0.164228631,,,,
small_simple,SIRS,0.1,0.1,0,0.3,0.249535819,7.695116778,0.204453667,0.04919562,-0.014952267,nan,0.012527792,-0.058434631,,,,
small_simple,SIRS,0.1,0.1,0,0.4,0.254448875,7.695116778,0.223279557,0.034727297,0.029414888,nan,0.024501824,0.053232283,,,,
small_simple,SIRS,0.1,0.1,0,0.5,0.223374331,7.695116778,0.205377438,0.021624059,0.301588443,nan,0.298174529,0.141182997,,,,
small_simple,SIRS,0.1,0.1,0,0.6,0.259712989,7.695116778,0.24523594,0.018174287,0.213949305,nan,0.213215361,0.091326238,,,,
small_simple,SIRS,0.1,0.1,0,0.7,0.263733633,7.695116778,0.255135836,0.01244239,0.334351707,nan,0.330262247,0.118829308,,,,
small_simple,SIRS,0.1,0.1,0,0.8,0.263255094,7.695116778,0.259015408,0.008481833,0.205378218,nan,0.204963215,0.030550505,,,,
small_simple,SIRS,0.1,0.1,0,0.9,0.219192793,7.695116778,0.218552475,0.005341682,0.361185852,nan,0.360363324,0.070398467,,,,
small_simple,SIRS,0.1,0.1,0,1,0.26405569,7.695116778,0.265729951,0.003826016,0.23771498,nan,0.23683705,nan,,,,
small_simple,SIRS,0.1,0.2,0,0.1,0.006410822,7.695116778,0.005455398,0.004932695,0.993169191,nan,0.972423311,0.971041198,,,,
small_simple,SIRS,0.1,0.2,0,0.2,0.003213279,7.695116778,0.003003367,0.002632882,0.993795702,nan,0.983565185,0.976186294,,,,
small_simple,SIRS,0.1,0.2,0,0.3,0.007282346,7.695116778,0.006759605,0.003451501,0.979921308,nan,0.971974227,0.916246701,,,,
small_simple,SIRS,0.1,0.2,0,0.4,0.007619401,7.695116778,0.006629722,0.003241786,0.941045776,nan,0.939409452,0.860873521,,,,
small_simple,SIRS,0.1,0.2,0,0.5,0.009414361,7.695116778,0.00946261,0.002310844,0.967647898,nan,0.953164797,0.898589715,,,,
small_simple,SIRS,0.1,0.2,0,0.6,0.003546853,7.695116778,0.004097828,0.002376583,0.984831667,nan,0.980561299,0.88923041,,,,
small_simple,SIRS,0.1,0.2,0,0.7,0.004068872,7.695116778,0.003294347,0.002453447,0.982909836,nan,0.9779857,0.843739887,,,,
small_simple,SIRS,0.1,0.2,0,0.8,0.011888095,7.695116778,0.012346952,0.002734448,0.878335538,nan,0.870355348,0.672177815,,,,
small_simple,SIRS,0.1,0.2,0,0.9,0.006150553,7.695116778,0.00384813,0.002785543,0.965361661,nan,0.975501934,0.556434133,,,,
small_simple,SIRS,0.1,0.2,0,1,0.002497324,7.695116778,0.004015686,0.002806776,0.990981488,nan,0.98586947,nan,,,,
small_simple,SIRS,0.1,0.3,0,0.1,0.004727475,7.695116778,0.002018268,0.003572325,0.98546604,nan,0.989028178,0.989094997,,,,
small_simple,SIRS,0.1,0.3,0,0.2,0.00221317,7.695116778,0.003504453,0.003069691,0.995200119,nan,0.962526434,0.980465984,,,,
small_simple,SIRS,0.1,0.3,0,0.3,0.003409514,7.695116778,0.001706749,0.00226827,0.991642492,nan,0.994422118,0.974921197,,,,
