Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SIR,0.1,0.1,0,0,0.040731505,7.695116778,0.003130633,0.040833128,0.991627907,nan,0.992907106,0.997009246
small_simple,SIR,0.1,0.2,0,0,0.045853995,7.695116778,0.001805989,0.045834833,0.959142865,nan,0.993683134,0.99177969
small_simple,SIR,0.1,0.3,0,0,0.032891195,7.695116778,0.001839663,0.033093789,0.951365364,nan,0.990644214,0.988658067
small_simple,SIR,0.1,0.4,0,0,0.00284383,7.695116778,0.001195073,0.003090046,0.992427004,nan,0.995699532,0.995669273
small_simple,SIR,0.1,0.5,0,0,0.015719202,7.695116778,0.00287053,0.015938382,0.929092266,nan,0.96398959,0.961848439
small_simple,SIR,0.1,0.6,0,0,0.026408143,7.695116778,0.000947155,0.026418123,0.992248387,nan,0.994933474,0.996445203
small_simple,SIR,0.1,0.7,0,0,0.007410244,7.695116778,0.002700552,0.007898682,0.924610378,nan,0.957214669,0.955477183
small_simple,SIR,0.1,0.8,0,0,0.016215417,7.695116778,0.002398911,0.016345279,0.863186637,nan,0.963244002,0.960915216
small_simple,SIR,0.1,0.9,0,0,0.019417593,7.695116778,0.002360135,0.019499495,0.886837639,nan,0.961327916,0.960462043
small_simple,SIR,0.1,1,0,0,0.023345735,7.695116778,0.00346009,0.023518923,nan,nan,0.907028309,0.907138418
small_simple,SIR,0.2,0.1,0,0,0.12629724,7.695116778,0.005846606,0.125646377,0.998593704,nan,0.988645797,0.997465664
small_simple,SIR,0.2,0.2,0,0,0.185666708,7.695116778,0.005862627,0.185332778,0.99402198,nan,0.972224014,0.98850188
small_simple,SIR,0.2,0.3,0,0,0.085035866,7.695116778,0.003490154,0.084946395,0.921786251,nan,0.9713018,0.967248066
small_simple,SIR,0.2,0.4,0,0,0.053716987,7.695116778,0.001881341,0.053674822,0.987528502,nan,0.988327035,0.991154731
small_simple,SIR,0.2,0.5,0,0,0.054391264,7.695116778,0.002824833,0.054366887,0.994570087,nan,0.972280483,0.982897278
small_simple,SIR,0.2,0.6,0,0,0.067089942,7.695116778,0.00302419,0.067052107,0.968842551,nan,0.957927111,0.961186717
small_simple,SIR,0.2,0.7,0,0,0.073005458,7.695116778,0.003104002,0.072966877,nan,nan,0.94565504,0.946623324
small_simple,SIR,0.2,0.8,0,0,0.062807534,7.695116778,0.003450137,0.062806653,nan,nan,0.923220092,0.924009499
small_simple,SIR,0.2,0.9,0,0,0.055089621,7.695116778,0.003846235,0.055125911,nan,nan,0.89401718,0.894700076
small_simple,SIR,0.2,1,0,0,0.04905033,7.695116778,0.003751208,0.049103327,nan,nan,0.893247864,0.893777539
small_simple,SIR,0.3,0.1,0,0,0.100077705,7.695116778,0.012097188,0.098645886,0.903063507,nan,0.96600144,0.982236559
small_simple,SIR,0.3,0.2,0,0,0.238084661,7.695116778,0.006821018,0.237719406,0.982944962,nan,0.958625523,0.987787414
small_simple,SIR,0.3,0.3,0,0,0.23234723,7.695116778,0.00499571,0.232084109,0.857206963,nan,0.948166456,0.956679693
small_simple,SIR,0.3,0.4,0,0,0.169182334,7.695116778,0.004711758,0.169010717,0.982917922,nan,0.946794273,0.967402578
small_simple,SIR,0.3,0.5,0,0,0.141493378,7.695116778,0.0038784,0.141388999,0.949151645,nan,0.951774133,0.956589178
small_simple,SIR,0.3,0.6,0,0,0.107030776,7.695116778,0.002802813,0.106965938,0.836444286,nan,0.964189074,0.962120246
small_simple,SIR,0.3,0.7,0,0,0.103496921,7.695116778,0.003653642,0.103441695,0.798656211,nan,0.928856747,0.928272312
small_simple,SIR,0.3,0.8,0,0,0.09319143,7.695116778,0.003510955,0.093151214,0.835025567,nan,0.924894675,0.925621178
small_simple,SIR,0.3,0.9,0,0,0.087100231,7.695116778,0.004175808,0.0870921,nan,nan,0.878769176,0.880613153
small_simple,SIR,0.3,1,0,0,0.077187787,7.695116778,0.00405243,0.077195913,nan,nan,0.878538042,0.879949501
small_simple,SIR,0.4,0.1,0,0,0.200846822,7.695116778,0.011953127,0.199779342,0.960418248,nan,0.988699206,0.994472587
small_simple,SIR,0.4,0.2,0,0,0.385964314,7.695116778,0.010196675,0.385270961,0.991748677,nan,0.954658066,0.989478133
small_simple,SIR,0.4,0.3,0,0,0.296443752,7.695116778,0.006259205,0.296166759,0.951107008,nan,0.951646649,0.984430534
small_simple,SIR,0.4,0.4,0,0,0.265789497,7.695116778,0.005882526,0.265539756,0.90374136,nan,0.920857711,0.937841787
small_simple,SIR,0.4,0.5,0,0,0.227462233,7.695116778,0.005346302,0.227305288,0.968312862,nan,0.910934359,0.932036471
small_simple,SIR,0.4,0.6,0,0,0.171759203,7.695116778,0.003335502,0.17165263,0.960526723,nan,0.959077547,0.96455026
small_simple,SIR,0.4,0.7,0,0,0.157877574,7.695116778,0.005157583,0.157801064,0.774189312,nan,0.859662304,0.86514761
small_simple,SIR,0.4,0.8,0,0,0.133713185,7.695116778,0.003876552,0.133646743,0.818626031,nan,0.913460492,0.916366133
small_simple,SIR,0.4,0.9,0,0,0.115327009,7.695116778,0.004171707,0.11528997,0.849827425,nan,0.885330052,0.888108844
small_simple,SIR,0.4,1,0,0,0.107714437,7.695116778,0.004363915,0.107696103,nan,nan,0.862959431,0.865877502
small_simple,SIR,0.5,0.1,0,0,0.251230868,7.695116778,0.018696514,0.249639514,0.788398007,nan,0.958223032,0.974796892
small_simple,SIR,0.5,0.2,0,0,0.395464731,7.695116778,0.011476645,0.394707455,0.984289539,nan,0.966178645,0.995070361
small_simple,SIR,0.5,0.3,0,0,0.440290327,7.695116778,0.009992782,0.439786122,0.977950469,nan,0.88610338,0.951033153
small_simple,SIR,0.5,0.4,0,0,0.326436738,7.695116778,0.005353422,0.326195493,0.992092425,nan,0.959303322,0.98306529
small_simple,SIR,0.5,0.5,0,0,0.292522981,7.695116778,0.006160949,0.292304006,0.920362582,nan,0.884861996,0.916783933
small_simple,SIR,0.5,0.6,0,0,0.232961891,7.695116778,0.005521073,0.232812567,0.831601678,nan,0.877641129,0.891564278
small_simple,SIR,0.5,0.7,0,0,0.216102644,7.695116778,0.004862631,0.215990159,nan,nan,0.889287336,0.900790251
small_simple,SIR,0.5,0.8,0,0,0.170540062,7.695116778,0.004109828,0.170456288,0.940505526,nan,0.909261385,0.91825291
small_simple,SIR,0.5,0.9,0,0,0.152547191,7.695116778,0.004681443,0.152494306,0.928143741,nan,0.861322952,0.874814674
small_simple,SIR,0.5,1,0,0,0.140395197,7.695116778,0.004696601,0.140357655,nan,nan,0.846031068,0.851211218
small_simple,SIR,0.6,0.1,0,0,0.173687433,7.695116778,0.013702771,0.172662921,0.826884946,nan,0.966702577,0.981752705
small_simple,SIR,0.6,0.2,0,0,0.423233338,7.695116778,0.013155578,0.422499027,0.878618765,nan,0.951876415,0.987216681
small_simple,SIR,0.6,0.3,0,0,0.4195208,7.695116778,0.00826397,0.419043539,0.994907431,nan,0.949108274,0.986573811
small_simple,SIR,0.6,0.4,0,0,0.35156219,7.695116778,0.00511219,0.351325381,0.984696932,nan,0.965229043,0.995270007
small_simple,SIR,0.6,0.5,0,0,0.344788154,7.695116778,0.007047959,0.344538924,0.835956412,nan,0.861286416,0.896117005
