Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SIS,0.1,0.1,0,0,0.321317359,7.695116778,0.321317359,7.695116778,0.091419222,nan,0.091419222,nan
small_simple,SIS,0.1,0.2,0,0,0.011194515,7.695116778,0.011194515,7.695116778,0.896821307,nan,0.896821307,nan
small_simple,SIS,0.1,0.3,0,0,0.002873044,7.695116778,0.002873044,7.695116778,0.980096072,nan,0.980096072,nan
small_simple,SIS,0.1,0.4,0,0,0.000822287,7.695116778,0.000822287,7.695116778,0.997252537,nan,0.997252537,nan
small_simple,SIS,0.1,0.5,0,0,0.001889633,7.695116778,0.001889633,7.695116778,0.982505185,nan,0.982505185,nan
small_simple,SIS,0.1,0.6,0,0,0.001654625,7.695116778,0.001654625,7.695116778,0.98645206,nan,0.98645206,nan
small_simple,SIS,0.1,0.7,0,0,0.002851637,7.695116778,0.002851637,7.695116778,0.953062273,nan,0.953062273,nan
small_simple,SIS,0.1,0.8,0,0,0.003520774,7.695116778,0.003520774,7.695116778,0.915914236,nan,0.915914236,nan
small_simple,SIS,0.1,0.9,0,0,0.002677888,7.695116778,0.002677888,7.695116778,0.950022267,nan,0.950022267,nan
small_simple,SIS,0.1,1,0,0,0.003533519,7.695116778,0.003533519,7.695116778,0.903598954,nan,0.903598954,nan
small_simple,SIS,0.2,0.1,0,0,0.190829516,7.695116778,0.190829516,7.695116778,-0.099336499,nan,-0.099336499,nan
small_simple,SIS,0.2,0.2,0,0,0.014417926,7.695116778,0.014417926,7.695116778,0.91608283,nan,0.91608283,nan
small_simple,SIS,0.2,0.3,0,0,0.002672808,7.695116778,0.002672808,7.695116778,0.986416491,nan,0.986416491,nan
small_simple,SIS,0.2,0.4,0,0,0.002415297,7.695116778,0.002415297,7.695116778,0.980869082,nan,0.980869082,nan
small_simple,SIS,0.2,0.5,0,0,0.0042685,7.695116778,0.0042685,7.695116778,0.931623839,nan,0.931623839,nan
small_simple,SIS,0.2,0.6,0,0,0.003386657,7.695116778,0.003386657,7.695116778,0.949278025,nan,0.949278025,nan
small_simple,SIS,0.2,0.7,0,0,0.002076279,7.695116778,0.002076279,7.695116778,0.979333061,nan,0.979333061,nan
small_simple,SIS,0.2,0.8,0,0,0.002670462,7.695116778,0.002670462,7.695116778,0.957059501,nan,0.957059501,nan
small_simple,SIS,0.2,0.9,0,0,0.004012579,7.695116778,0.004012579,7.695116778,0.886279768,nan,0.886279768,nan
small_simple,SIS,0.2,1,0,0,0.003918663,7.695116778,0.003918663,7.695116778,0.885122648,nan,0.885122648,nan
small_simple,SIS,0.3,0.1,0,0,0.327573984,7.695116778,0.327573984,7.695116778,0.021466527,nan,0.021466527,nan
small_simple,SIS,0.3,0.2,0,0,0.331526805,7.695116778,0.331526805,7.695116778,nan,nan,nan,nan
small_simple,SIS,0.3,0.3,0,0,0.019173379,7.695116778,0.019173379,7.695116778,0.702414164,nan,0.702414164,nan
small_simple,SIS,0.3,0.4,0,0,0.00632473,7.695116778,0.00632473,7.695116778,0.926090652,nan,0.926090652,nan
small_simple,SIS,0.3,0.5,0,0,0.003745439,7.695116778,0.003745439,7.695116778,0.962450614,nan,0.962450614,nan
small_simple,SIS,0.3,0.6,0,0,0.004874563,7.695116778,0.004874563,7.695116778,0.900098714,nan,0.900098714,nan
small_simple,SIS,0.3,0.7,0,0,0.003171223,7.695116778,0.003171223,7.695116778,0.95344991,nan,0.95344991,nan
small_simple,SIS,0.3,0.8,0,0,0.004428321,7.695116778,0.004428321,7.695116778,0.880767591,nan,0.880767591,nan
small_simple,SIS,0.3,0.9,0,0,0.004230516,7.695116778,0.004230516,7.695116778,0.880206619,nan,0.880206619,nan
small_simple,SIS,0.3,1,0,0,0.004294235,7.695116778,0.004294235,7.695116778,0.866479204,nan,0.866479204,nan
small_simple,SIS,0.4,0.1,0,0,0.423535601,7.695116778,0.423535601,7.695116778,0.011975371,nan,0.011975371,nan
small_simple,SIS,0.4,0.2,0,0,0.497297713,7.695116778,0.497297713,7.695116778,-0.885534522,nan,-0.885534522,nan
small_simple,SIS,0.4,0.3,0,0,0.249734597,7.695116778,0.249734597,7.695116778,0.950317569,nan,0.950317569,nan
small_simple,SIS,0.4,0.4,0,0,0.015692818,7.695116778,0.015692818,7.695116778,0.737229316,nan,0.737229316,nan
small_simple,SIS,0.4,0.5,0,0,0.00853034,7.695116778,0.00853034,7.695116778,0.799348827,nan,0.799348827,nan
