Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,
large_complex,SEIRS,0.1,0.1,0.1,0.1,0.911507935,0.016619999,0.763270408,0.158384955,-0.800229534,0.721555572,-0.835401918,-0.06354228,,,
large_complex,SEIRS,0.1,0.1,0.1,0.2,0.877891926,0.018202562,0.762581655,0.125765826,-0.792527501,0.692759994,-0.798833734,-0.360464836,,,
large_complex,SEIRS,0.1,0.1,0.1,0.3,0.850488228,0.018533308,0.76072606,0.099664267,-0.778563513,0.675844091,-0.784982569,-0.448692995,,,
large_complex,SEIRS,0.1,0.1,0.1,0.4,0.830110129,0.0188736,0.762079141,0.077217109,-0.786097331,0.63286293,-0.789717356,-0.479524033,,,
large_complex,SEIRS,0.1,0.1,0.1,0.5,0.811473376,0.018620758,0.760881118,0.059233142,-0.769397844,0.635313166,-0.778774014,-0.450352002,,,
large_complex,SEIRS,0.1,0.1,0.1,0.6,0.796964698,0.018375167,0.761901064,0.04309706,-0.761668362,0.634582387,-0.773455574,-0.431039838,,,
large_complex,SEIRS,0.1,0.1,0.1,0.7,0.784262372,0.018659613,0.762029989,0.029701977,-0.758540591,0.592382727,-0.768544746,-0.384414232,,,
large_complex,SEIRS,0.1,0.1,0.1,0.8,0.774449681,0.017945075,0.763062999,0.018237812,-0.765211776,0.623417744,-0.775833529,-0.32322433,,,
large_complex,SEIRS,0.1,0.1,0.1,0.9,0.762607589,0.018374855,0.761081315,0.008305526,-0.768595701,0.604615878,-0.782176286,-0.262623885,,,
large_complex,SEIRS,0.1,0.1,0.1,1,0.755520482,0.018375878,0.762349503,0.002820021,-0.749785702,0.565023031,-0.762108823,nan,,,
large_complex,SEIRS,0.1,0.1,0.2,0.1,0.918355682,0.008824843,0.764732,0.158719338,-0.836035336,0.782200476,-0.863172868,-0.038607894,,,
large_complex,SEIRS,0.1,0.1,0.2,0.2,0.884412562,0.01005636,0.763572501,0.125859127,-0.832777623,0.717427243,-0.829182412,-0.293822173,,,
large_complex,SEIRS,0.1,0.1,0.2,0.3,0.856492829,0.010518248,0.761633522,0.099418135,-0.818560884,0.674793321,-0.811640793,-0.444409767,,,
large_complex,SEIRS,0.1,0.1,0.2,0.4,0.835797554,0.010423814,0.762217938,0.077478,-0.810313432,0.667104432,-0.804913432,-0.453048423,,,
large_complex,SEIRS,0.1,0.1,0.2,0.5,0.817885313,0.010508497,0.762652748,0.058704705,-0.809483413,0.64723028,-0.805522748,-0.433481167,,,
large_complex,SEIRS,0.1,0.1,0.2,0.6,0.803755613,0.010380337,0.763187951,0.0434071,-0.793428852,0.643599472,-0.791340461,-0.447252836,,,
large_complex,SEIRS,0.1,0.1,0.2,0.7,0.791004797,0.010437229,0.763508637,0.029980038,-0.788154718,0.625403687,-0.788065929,-0.370638687,,,
large_complex,SEIRS,0.1,0.1,0.2,0.8,0.779755808,0.010278798,0.763405954,0.018352694,-0.792742413,0.631634613,-0.793731688,-0.336801333,,,
large_complex,SEIRS,0.1,0.1,0.2,0.9,0.76993853,0.010421267,0.763475954,0.008409842,-0.795646837,0.611472971,-0.797115374,-0.236566369,,,
large_complex,SEIRS,0.1,0.1,0.2,1,0.761740837,0.010400972,0.763902539,0.003209745,-0.782053737,0.601390471,-0.784524991,nan,,,
large_complex,SEIRS,0.1,0.1,0.3,0.1,0.920716442,0.006491385,0.764817021,0.159448834,-0.860696242,0.763481567,-0.878076245,0.083299434,,,
large_complex,SEIRS,0.1,0.1,0.3,0.2,0.886648445,0.006916022,0.763736714,0.126228267,-0.844889126,0.747029399,-0.840514352,-0.299727954,,,
large_complex,SEIRS,0.1,0.1,0.3,0.3,0.860028845,0.00721681,0.76377368,0.099186073,-0.82843893,0.715052459,-0.817581045,-0.442644776,,,
large_complex,SEIRS,0.1,0.1,0.3,0.4,0.839289109,0.007355626,0.764166208,0.077484356,-0.817411442,0.691462689,-0.811953292,-0.466240885,,,
large_complex,SEIRS,0.1,0.1,0.3,0.5,0.821005553,0.007606977,0.764021696,0.058824363,-0.814794774,0.647365762,-0.811911973,-0.425394327,,,
large_complex,SEIRS,0.1,0.1,0.3,0.6,0.80495291,0.007453582,0.763315451,0.043215576,-0.813033392,0.657654209,-0.810570925,-0.448719668,,,
large_complex,SEIRS,0.1,0.1,0.3,0.7,0.792985689,0.007515402,0.764487282,0.029791095,-0.808687757,0.645082275,-0.805398542,-0.392735937,,,
large_complex,SEIRS,0.1,0.1,0.3,0.8,0.780873347,0.007713807,0.763636472,0.01832509,-0.812159521,0.612463696,-0.81024848,-0.346641578,,,
large_complex,SEIRS,0.1,0.1,0.3,0.9,0.770957984,0.007819856,0.763410879,0.008567937,-0.809656925,0.594486772,-0.810210025,-0.282319336,,,
large_complex,SEIRS,0.1,0.1,0.3,1,0.763028249,0.008032373,0.764335411,0.003383265,-0.805186894,0.562803175,-0.805611673,nan,,,
large_complex,SEIRS,0.1,0.1,0.4,0.1,0.921778385,0.004910579,0.765369486,0.159268926,-0.860160741,0.804287315,-0.877214508,0.087299006,,,
large_complex,SEIRS,0.1,0.1,0.4,0.2,0.887268987,0.005474475,0.763654124,0.126238169,-0.85430657,0.761574108,-0.845382503,-0.291470659,,,
large_complex,SEIRS,0.1,0.1,0.4,0.3,0.860704849,0.005858,0.762924998,0.100095355,-0.846496639,0.715865638,-0.833868109,-0.432820465,,,
large_complex,SEIRS,0.1,0.1,0.4,0.4,0.839197049,0.005836646,0.763168506,0.077868913,-0.839067997,0.706195433,-0.831297374,-0.509457659,,,
large_complex,SEIRS,0.1,0.1,0.4,0.5,0.821648396,0.006026839,0.764190318,0.058962266,-0.81920763,0.672066252,-0.813581617,-0.461903419,,,
large_complex,SEIRS,0.1,0.1,0.4,0.6,0.806885779,0.005968985,0.76482103,0.043333543,-0.820299272,0.67697238,-0.814357539,-0.439535276,,,
large_complex,SEIRS,0.1,0.1,0.4,0.7,0.79380937,0.00602034,0.764803655,0.029942014,-0.822564159,0.664356114,-0.822673557,-0.384647928,,,
large_complex,SEIRS,0.1,0.1,0.4,0.8,0.783065005,0.005936768,0.76545488,0.018404474,-0.808890111,0.670777728,-0.804949483,-0.347123063,,,
large_complex,SEIRS,0.1,0.1,0.4,0.9,0.772683706,0.006358457,0.765063352,0.008582381,-0.810586481,0.605701678,-0.80927003,-0.269230656,,,
large_complex,SEIRS,0.1,0.1,0.4,1,0.765518184,0.006456413,0.766861203,0.003480959,-0.810553427,0.590116214,-0.810577671,nan,,,
large_complex,SEIRS,0.1,0.1,0.5,0.1,0.922089236,0.004030444,0.765151799,0.159358448,-0.87936769,0.823920211,-0.881457726,-0.028752925,,,
large_complex,SEIRS,0.1,0.1,0.5,0.2,0.887686264,0.004729143,0.763685801,0.126242017,-0.861146989,0.761232754,-0.846894861,-0.31364574,,,
large_complex,SEIRS,0.1,0.1,0.5,0.3,0.861202368,0.00478941,0.763340022,0.099797473,-0.845622947,0.750850927,-0.834643557,-0.459395686,,,
large_complex,SEIRS,0.1,0.1,0.5,0.4,0.840080282,0.00499224,0.764194543,0.077530546,-0.836751277,0.714705313,-0.830445929,-0.454715186,,,
large_complex,SEIRS,0.1,0.1,0.5,0.5,0.822079934,0.004967603,0.76456523,0.058936031,-0.829207646,0.714240763,-0.828446455,-0.409951813,,,
large_complex,SEIRS,0.1,0.1,0.5,0.6,0.807828817,0.00507307,0.76572986,0.043329224,-0.815404248,0.692876508,-0.807423372,-0.422844294,,,
large_complex,SEIRS,0.1,0.1,0.5,0.7,0.794871131,0.005181077,0.765854082,0.029851689,-0.823622555,0.666815229,-0.821264034,-0.408764657,,,
