Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SEIR,0.1,0.1,0.1,0,0.344750659,0.008736643,0.771770914,0.427421347,0.980441458,0.855046891,-0.966520573,-0.099779497
large_complex,SEIR,0.1,0.1,0.2,0,0.34458676,0.004681148,0.773964003,0.42990025,0.984409581,0.899180816,-0.965252851,-0.036976972
large_complex,SEIR,0.1,0.1,0.3,0,0.344195539,0.003576449,0.772580844,0.428920977,0.979920552,0.900185228,-0.948337018,-0.080997244
large_complex,SEIR,0.1,0.1,0.4,0,0.344329405,0.003194523,0.773590897,0.429764641,0.980480861,0.881506069,-0.941693479,-0.057864906
large_complex,SEIR,0.1,0.1,0.5,0,0.343997484,0.00258509,0.773487882,0.429949678,0.968929723,0.898481992,-0.925296429,-0.034114536
large_complex,SEIR,0.1,0.1,0.6,0,0.344310829,0.002503898,0.773676128,0.429882253,0.9726258,0.8863004,-0.931198486,-0.04193778
large_complex,SEIR,0.1,0.1,0.7,0,0.344147492,0.002229868,0.773721081,0.430037107,0.971660622,0.895450692,-0.923852231,-0.0239606
large_complex,SEIR,0.1,0.1,0.8,0,0.344021631,0.002165538,0.773053667,0.429468863,0.968451436,0.889130399,-0.918991403,-0.031150525
large_complex,SEIR,0.1,0.1,0.9,0,0.343881132,0.002246315,0.772954254,0.429495245,0.961650947,0.867751864,-0.905409028,-0.052383209
large_complex,SEIR,0.1,0.1,1,0,0.344292337,0.002284925,0.774086924,0.430255216,0.973505422,0.853171986,-0.914205424,-0.029456747
large_complex,SEIR,0.1,0.2,0.1,0,0.519132587,0.004904669,0.546967568,0.04911165,0.902340951,0.940077225,-0.653362795,0.481741479
large_complex,SEIR,0.1,0.2,0.2,0,0.518419192,0.003560536,0.548664008,0.048413957,0.79394906,0.926957089,-0.559745517,0.506113604
large_complex,SEIR,0.1,0.2,0.3,0,0.518232642,0.002381255,0.546705815,0.050981583,0.749854829,0.948962918,-0.496630788,0.466009127
large_complex,SEIR,0.1,0.2,0.4,0,0.518549262,0.002468872,0.546564734,0.04857261,0.732303396,0.921631598,-0.491684011,0.466788937
