Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
large_complex,SIRS,0.1,0.1,0,0.1,0.773727297,0.855012975,0.647878568,0.126539238,-0.892862799,nan,-0.892075269,-0.267364777,
large_complex,SIRS,0.1,0.1,0,0.2,0.748572412,0.855012975,0.647247218,0.101873952,-0.86903434,nan,-0.867845975,-0.437193721,
large_complex,SIRS,0.1,0.1,0,0.3,0.726610614,0.855012975,0.645674108,0.081418341,-0.859024488,nan,-0.853494088,-0.572544935,
large_complex,SIRS,0.1,0.1,0,0.4,0.710595227,0.855012975,0.647445022,0.063597794,-0.851123109,nan,-0.848970109,-0.524869857,
large_complex,SIRS,0.1,0.1,0,0.5,0.695503775,0.855012975,0.647172321,0.048782742,-0.848052567,nan,-0.84454907,-0.571399459,
large_complex,SIRS,0.1,0.1,0,0.6,0.682220582,0.855012975,0.646795531,0.03587293,-0.835856884,nan,-0.831920681,-0.530920564,
large_complex,SIRS,0.1,0.1,0,0.7,0.672206945,0.855012975,0.647435468,0.0252391,-0.833910402,nan,-0.832556859,-0.44988119,
large_complex,SIRS,0.1,0.1,0,0.8,0.66195303,0.855012975,0.64720197,0.015281649,-0.833247591,nan,-0.832448822,-0.393136675,
large_complex,SIRS,0.1,0.1,0,0.9,0.654415363,0.855012975,0.647903154,0.007254872,-0.840930802,nan,-0.840628927,-0.283785294,
large_complex,SIRS,0.1,0.1,0,1,0.64726018,0.855012975,0.64842296,0.00246746,-0.827502663,nan,-0.827590301,nan,
large_complex,SIRS,0.1,0.2,0,0.1,0.727922395,0.855012975,0.472306342,0.256673495,-0.62382536,nan,-0.389933594,-0.685148191,
large_complex,SIRS,0.1,0.2,0,0.2,0.66621823,0.855012975,0.469752695,0.19707371,-0.480078905,nan,-0.373093254,-0.521406207,
large_complex,SIRS,0.1,0.2,0,0.3,0.627319076,0.855012975,0.47626411,0.151520829,-0.485062289,nan,-0.409271159,-0.519011331,
large_complex,SIRS,0.1,0.2,0,0.4,0.588904279,0.855012975,0.473399406,0.11593481,-0.425147085,nan,-0.379056965,-0.438994182,
large_complex,SIRS,0.1,0.2,0,0.5,0.564229283,0.855012975,0.476851565,0.087760705,-0.425397189,nan,-0.389771375,-0.433658328,
large_complex,SIRS,0.1,0.2,0,0.6,0.542991677,0.855012975,0.479094357,0.064307894,-0.432690007,nan,-0.404332134,-0.413158065,
large_complex,SIRS,0.1,0.2,0,0.7,0.521905028,0.855012975,0.477898918,0.044396269,-0.411494913,nan,-0.391405807,-0.36530911,
large_complex,SIRS,0.1,0.2,0,0.8,0.506041398,0.855012975,0.478843307,0.027583531,-0.402701289,nan,-0.385315394,-0.344811801,
large_complex,SIRS,0.1,0.2,0,0.9,0.493326002,0.855012975,0.480582964,0.013168365,-0.39648619,nan,-0.382458976,-0.272151249,
large_complex,SIRS,0.1,0.2,0,1,0.481465099,0.855012975,0.481458918,0.001459224,-0.413103097,nan,-0.400793996,nan,
large_complex,SIRS,0.1,0.3,0,0.1,0.609384975,0.855012975,0.274316785,0.335977352,-0.303753099,nan,-0.13545745,-0.336393281,
large_complex,SIRS,0.1,0.3,0,0.2,0.516806855,0.855012975,0.277162416,0.24018013,-0.239829335,nan,-0.145906753,-0.269358985,
large_complex,SIRS,0.1,0.3,0,0.3,0.457162183,0.855012975,0.280390153,0.17723214,-0.205603041,nan,-0.144678188,-0.229335458,
large_complex,SIRS,0.1,0.3,0,0.4,0.409269126,0.855012975,0.280009974,0.129661946,-0.185731598,nan,-0.140594725,-0.209701741,
large_complex,SIRS,0.1,0.3,0,0.5,0.378693193,0.855012975,0.282541635,0.096526074,-0.180665151,nan,-0.146512202,-0.195320856,
large_complex,SIRS,0.1,0.3,0,0.6,0.349551346,0.855012975,0.281095876,0.068833529,-0.170595302,nan,-0.142047334,-0.192889277,
large_complex,SIRS,0.1,0.3,0,0.7,0.328367113,0.855012975,0.28216795,0.046555398,-0.158106551,nan,-0.136737495,-0.170051452,
large_complex,SIRS,0.1,0.3,0,0.8,0.305077757,0.855012975,0.277388634,0.028074195,-0.144720927,nan,-0.128065822,-0.15315535,
large_complex,SIRS,0.1,0.3,0,0.9,0.289447338,0.855012975,0.276704262,0.013166178,-0.140379663,nan,-0.126984117,-0.130098546,
large_complex,SIRS,0.1,0.3,0,1,0.288448098,0.855012975,0.288434908,0.001539738,-0.162500413,nan,-0.149746057,nan,
large_complex,SIRS,0.1,0.4,0,0.1,0.076151792,0.855012975,0.015897494,0.060635294,0.060099882,nan,0.348305933,0.039988067,
large_complex,SIRS,0.1,0.4,0,0.2,0.024578501,0.855012975,0.008146073,0.016730653,0.289653045,nan,0.55168449,0.211332793,
large_complex,SIRS,0.1,0.4,0,0.3,0.05832049,0.855012975,0.025235889,0.033387637,0.081139374,nan,0.201712875,0.038978798,
large_complex,SIRS,0.1,0.4,0,0.4,0.0453911,0.855012975,0.024042556,0.021650547,0.115174094,nan,0.214849364,0.058964875,
large_complex,SIRS,0.1,0.4,0,0.5,0.028076678,0.855012975,0.017459081,0.010891965,0.189787781,nan,0.285343706,0.10220148,
large_complex,SIRS,0.1,0.4,0,0.6,0.039553913,0.855012975,0.02815969,0.011714894,0.120034362,nan,0.189315327,0.033909712,
large_complex,SIRS,0.1,0.4,0,0.7,0.071984732,0.855012975,0.056731518,0.015600033,0.024157879,nan,0.062062324,-0.030050145,
large_complex,SIRS,0.1,0.4,0,0.8,0.023635979,0.855012975,0.02029783,0.00379758,0.208579189,nan,0.252423566,0.087083864,
