Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SI,0.1,0,0,0,0.011359887,0.855012975,0.011359887,0.855012975,0.987559723,nan,0.987559723,nan
large_complex,SI,0.2,0,0,0,0.022702985,0.855012975,0.022702985,0.855012975,0.946355433,nan,0.946355433,nan
large_complex,SI,0.3,0,0,0,0.032205321,0.855012975,0.032205321,0.855012975,0.849191637,nan,0.849191637,nan
large_complex,SI,0.4,0,0,0,0.035224162,0.855012975,0.035224162,0.855012975,0.778634057,nan,0.778634057,nan
large_complex,SI,0.5,0,0,0,0.037185066,0.855012975,0.037185066,0.855012975,0.727932172,nan,0.727932172,nan
large_complex,SI,0.6,0,0,0,0.036213245,0.855012975,0.036213245,0.855012975,0.70577969,nan,0.70577969,nan
large_complex,SI,0.7,0,0,0,0.037203978,0.855012975,0.037203978,0.855012975,0.66448582,nan,0.66448582,nan
large_complex,SI,0.8,0,0,0,0.037356563,0.855012975,0.037356563,0.855012975,0.638781902,nan,0.638781902,nan
large_complex,SI,0.9,0,0,0,0.037211446,0.855012975,0.037211446,0.855012975,0.627512742,nan,0.627512742,nan
large_complex,SI,1,0,0,0,0.036561423,0.855012975,0.036561423,0.855012975,0.610071521,nan,0.610071521,nan
