Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
small_simple,SEIRS,0.1,0.1,0.1,0.1,0.252229853,0.083287506,0.092901574,0.081994361,0.324421473,0.362470588,0.195316261,0.327889298,
small_simple,SEIRS,0.1,0.1,0.1,0.2,0.283953269,0.111112252,0.127867478,0.051410668,0.13736546,0.100588318,0.125669211,0.11315264,
small_simple,SEIRS,0.1,0.1,0.1,0.3,0.260562006,0.108502721,0.127498052,0.031367033,0.165788675,0.14226177,0.139747939,0.102297884,
small_simple,SEIRS,0.1,0.1,0.1,0.4,0.269201186,0.118270648,0.135454038,0.021967498,0.310678426,0.288195315,0.248983037,0.141814556,
small_simple,SEIRS,0.1,0.1,0.1,0.5,0.259914487,0.120242528,0.131496891,0.015033228,0.329443316,0.319185534,0.269465271,0.0830639,
small_simple,SEIRS,0.1,0.1,0.1,0.6,0.28930318,0.132845615,0.151319751,0.011793936,0.059999935,0.12223074,-0.007831371,0.042538602,
small_simple,SEIRS,0.1,0.1,0.1,0.7,0.279951484,0.130599685,0.147260271,0.008905919,0.110663148,0.122392746,0.073246776,-0.034674487,
small_simple,SEIRS,0.1,0.1,0.1,0.8,0.279371213,0.132326225,0.147647276,0.006220209,0.356145696,0.375169633,0.262172022,0.096980867,
small_simple,SEIRS,0.1,0.1,0.1,0.9,0.297469748,0.140780466,0.159170374,0.004419882,0.006922618,-0.02776824,0.035495188,-0.000452602,
small_simple,SEIRS,0.1,0.1,0.1,1,0.261185573,0.126244453,0.138977802,0.002819867,0.27154071,0.260223741,0.189110345,nan,
small_simple,SEIRS,0.1,0.1,0.2,0.1,0.094899707,0.017612171,0.04315322,0.037882711,0.795598966,0.762942102,0.762382484,0.798195927,
small_simple,SEIRS,0.1,0.1,0.2,0.2,0.078463233,0.018190017,0.046179362,0.017962297,0.803227539,0.735859326,0.816787377,0.757927964,
small_simple,SEIRS,0.1,0.1,0.2,0.3,0.286513724,0.070324695,0.180007546,0.043050282,-0.056558299,0.004386716,-0.05625688,-0.00689364,
small_simple,SEIRS,0.1,0.1,0.2,0.4,0.244820506,0.064846475,0.160282968,0.025584007,0.294437762,0.294156162,0.257380615,0.193822466,
small_simple,SEIRS,0.1,0.1,0.2,0.5,0.265778102,0.071145876,0.181506102,0.019721605,0.31091474,0.276883843,0.292036421,0.122688601,
small_simple,SEIRS,0.1,0.1,0.2,0.6,0.197115313,0.05507702,0.137349368,0.010984233,0.497453136,0.510264549,0.476120711,0.301592379,
small_simple,SEIRS,0.1,0.1,0.2,0.7,0.273984256,0.075718654,0.194246525,0.010460549,0.091044549,0.154942222,0.059511612,0.018836867,
small_simple,SEIRS,0.1,0.1,0.2,0.8,0.284533224,0.080094999,0.204230393,0.007192056,0.149183893,0.152700486,0.119814266,0.045697223,
small_simple,SEIRS,0.1,0.1,0.2,0.9,0.286780941,0.084003459,0.204909321,0.004807485,0.057355476,0.125803111,0.011067395,0.051932106,
small_simple,SEIRS,0.1,0.1,0.2,1,0.270173151,0.076400526,0.198287439,0.003209621,0.333310333,0.213637104,0.338301895,nan,
small_simple,SEIRS,0.1,0.1,0.3,0.1,0.160657096,0.017367165,0.07800885,0.070349197,0.569222686,0.513969331,0.584776631,0.544193088,
small_simple,SEIRS,0.1,0.1,0.3,0.2,0.250376347,0.03829562,0.155017504,0.063283861,0.316911697,0.321626638,0.312694866,0.205614942,
small_simple,SEIRS,0.1,0.1,0.3,0.3,0.241687912,0.04039105,0.16830716,0.039316579,0.179919979,0.207647658,0.164656668,0.166047543,
small_simple,SEIRS,0.1,0.1,0.3,0.4,0.278624859,0.048147056,0.204363014,0.032215426,0.012475112,0.149257948,-0.025009148,0.052357591,
small_simple,SEIRS,0.1,0.1,0.3,0.5,0.242731648,0.044673006,0.183989756,0.020956641,0.381130942,0.345321138,0.36148985,0.164049455,
small_simple,SEIRS,0.1,0.1,0.3,0.6,0.274126627,0.050193481,0.213886339,0.016352588,0.050486216,0.078626011,0.05805742,0.008094585,
small_simple,SEIRS,0.1,0.1,0.3,0.7,0.234416076,0.045365083,0.185139496,0.010235117,0.095242915,0.137261062,0.086021813,0.055193156,
small_simple,SEIRS,0.1,0.1,0.3,0.8,0.267623015,0.052530472,0.214328283,0.007619023,0.145852958,0.192500575,0.117008821,0.022999513,
small_simple,SEIRS,0.1,0.1,0.3,0.9,0.291878637,0.056338308,0.237747573,0.005206711,0.029926134,0.090354485,0.011878227,0.052466222,
small_simple,SEIRS,0.1,0.1,0.3,1,0.281810136,0.054956973,0.23126678,0.003383112,0.046984973,0.092648383,0.034362638,nan,
small_simple,SEIRS,0.1,0.1,0.4,0.1,0.179244757,0.013789628,0.094202686,0.077731441,0.524000595,0.527965794,0.541693084,0.477010865,
small_simple,SEIRS,0.1,0.1,0.4,0.2,0.260555027,0.025708941,0.173977256,0.068057125,0.408060667,0.357944632,0.38384297,0.284338453,
small_simple,SEIRS,0.1,0.1,0.4,0.3,0.248375164,0.029131052,0.182568488,0.043931623,0.292116055,0.219658986,0.29551745,0.169341887,
small_simple,SEIRS,0.1,0.1,0.4,0.4,0.286855901,0.034026009,0.224278262,0.035456728,0.068150508,0.152940607,0.061463265,0.03084705,
small_simple,SEIRS,0.1,0.1,0.4,0.5,0.242951078,0.030621292,0.196450033,0.022327205,0.315437288,0.325024813,0.300529011,0.142951885,
small_simple,SEIRS,0.1,0.1,0.4,0.6,0.269653161,0.034372429,0.225148662,0.016880732,0.196190826,0.215473355,0.182393379,0.051877809,
small_simple,SEIRS,0.1,0.1,0.4,0.7,0.269795999,0.035650051,0.228995119,0.011959235,-0.003021983,0.12057136,-0.022641789,0.034002305,
small_simple,SEIRS,0.1,0.1,0.4,0.8,0.271411962,0.036161172,0.234064208,0.008117891,0.148966165,0.264005477,0.11519805,0.047047798,
small_simple,SEIRS,0.1,0.1,0.4,0.9,0.256441796,0.034662998,0.223902919,0.005361004,0.111845205,0.153583622,0.106732391,0.02228196,
small_simple,SEIRS,0.1,0.1,0.4,1,0.273468993,0.036634613,0.241619473,0.003481002,0.230574709,0.242239239,0.209836364,nan,
small_simple,SEIRS,0.1,0.1,0.5,0.1,0.054228625,0.003389155,0.028584674,0.026963587,0.85277985,0.882581775,0.829077699,0.828096718,
small_simple,SEIRS,0.1,0.1,0.5,0.2,0.258762053,0.019557157,0.176697082,0.069636002,0.05247725,0.228542605,0.039358726,0.069542746,
small_simple,SEIRS,0.1,0.1,0.5,0.3,0.256029943,0.021134486,0.1944782,0.046720966,0.152912671,0.247214112,0.137725016,0.132015368,
small_simple,SEIRS,0.1,0.1,0.5,0.4,0.130527828,0.011646272,0.106798532,0.017096784,0.613952946,0.613207156,0.605969788,0.537069495,
small_simple,SEIRS,0.1,0.1,0.5,0.5,0.253479861,0.023141585,0.21418257,0.023109979,0.107889845,0.171139549,0.106330923,0.041165979,
small_simple,SEIRS,0.1,0.1,0.5,0.6,0.281615138,0.026383307,0.244455675,0.017554676,-0.038604554,0.172609573,-0.049958385,-0.01222308,
small_simple,SEIRS,0.1,0.1,0.5,0.7,0.24026139,0.023293139,0.212760292,0.0114597,0.390334938,0.308843948,0.385321544,0.105656043,
small_simple,SEIRS,0.1,0.1,0.5,0.8,0.269380091,0.025912585,0.241985239,0.008733309,0.070633818,0.236708258,0.048040195,0.043539262,
small_simple,SEIRS,0.1,0.1,0.5,0.9,0.26201874,0.025599169,0.238597748,0.005558942,0.046447963,0.142652901,0.044253903,-0.004000823,
small_simple,SEIRS,0.1,0.1,0.5,1,0.256219167,0.025113408,0.235442206,0.003542236,-0.14929412,0.14835151,-0.173464002,nan,
small_simple,SEIRS,0.1,0.1,0.6,0.1,0.135720919,0.005332797,0.074352016,0.061741642,0.632632106,0.700877254,0.633618508,0.595027922,
small_simple,SEIRS,0.1,0.1,0.6,0.2,0.199585254,0.011381174,0.139558651,0.055321715,0.462517913,0.420000699,0.475321943,0.373542095,
small_simple,SEIRS,0.1,0.1,0.6,0.3,0.221091442,0.013293839,0.172949542,0.041791976,0.319750497,0.370120069,0.329462174,0.18289657,
small_simple,SEIRS,0.1,0.1,0.6,0.4,0.250728826,0.015486262,0.209232542,0.032913446,0.165799557,0.283474386,0.164712418,0.076979395,
small_simple,SEIRS,0.1,0.1,0.6,0.5,0.277787744,0.017393649,0.241840186,0.025639453,0.347269741,0.316359207,0.335271362,0.135316311,
small_simple,SEIRS,0.1,0.1,0.6,0.6,0.251294951,0.016595066,0.224358819,0.017500872,0.230533605,0.287326653,0.227687719,0.06431289,
