Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SEIR,0.1,0.1,0.1,0,0.166541137,0.006602309,0.005492478,0.165820884,0.988224498,0.968403058,0.978812972,0.996069311
small_simple,SEIR,0.1,0.1,0.2,0,0.146040772,0.002288307,0.005411116,0.145786556,0.996467267,0.971133087,0.98818474,0.997697537
small_simple,SEIR,0.1,0.1,0.3,0,0.193678884,0.002919382,0.012210581,0.192547691,0.975287048,0.94419451,0.98837167,0.997463213
small_simple,SEIR,0.1,0.1,0.4,0,0.068044568,0.001713265,0.004308782,0.068657013,0.949535733,0.963544528,0.982200026,0.983622634
small_simple,SEIR,0.1,0.1,0.5,0,0.173775287,0.001818878,0.012407126,0.17348767,0.97291083,0.950094523,0.980361671,0.990668274
small_simple,SEIR,0.1,0.1,0.6,0,0.198523108,0.001919584,0.006700567,0.197908986,0.994380733,0.937715532,0.987850979,0.995831799
small_simple,SEIR,0.1,0.1,0.7,0,0.239408407,0.002208411,0.011461163,0.238483242,0.992662337,0.896625264,0.99135909,0.999145131
small_simple,SEIR,0.1,0.1,0.8,0,0.14689556,0.002155948,0.006313543,0.146695964,0.98807622,0.889247341,0.995599058,0.99704445
small_simple,SEIR,0.1,0.1,0.9,0,0.206212321,0.00249003,0.010736676,0.205474959,0.99424438,0.833723324,0.981953861,0.996760653
small_simple,SEIR,0.1,0.1,1,0,0.147160011,0.002291473,0.005948941,0.147055864,0.975373042,0.852502945,0.99155915,0.993618358
small_simple,SEIR,0.1,0.2,0.1,0,0.118382731,0.005239516,0.00230881,0.117741543,0.989204788,0.948888678,0.979877029,0.985307486
small_simple,SEIR,0.1,0.2,0.2,0,0.132312509,0.001436476,0.003288158,0.132117398,0.991069891,0.986501604,0.979347138,0.997856981
small_simple,SEIR,0.1,0.2,0.3,0,0.171408309,0.002060436,0.004399335,0.171014915,0.948467317,0.970360057,0.936809512,0.966195221
small_simple,SEIR,0.1,0.2,0.4,0,0.132145931,0.001713961,0.0026548,0.132110001,0.994139762,0.960622603,0.990775108,0.998707454
small_simple,SEIR,0.1,0.2,0.5,0,0.007330838,0.001719782,0.001951184,0.007780008,0.980742823,0.956798179,0.988555172,0.991779308
small_simple,SEIR,0.1,0.2,0.6,0,0.192084323,0.001294653,0.00452644,0.191894849,0.995318286,0.969689798,0.990419826,0.995352111
small_simple,SEIR,0.1,0.2,0.7,0,0.079019826,0.00140322,0.001335549,0.07904771,0.989987784,0.957897875,0.994855413,0.997469723
small_simple,SEIR,0.1,0.2,0.8,0,0.099128375,0.001617387,0.003442623,0.099138001,0.988678464,0.937961355,0.986056349,0.994653263
small_simple,SEIR,0.1,0.2,0.9,0,0.007325532,0.00158355,0.003195103,0.007935336,0.987953063,0.934639763,0.973045053,0.987758168
small_simple,SEIR,0.1,0.2,1,0,0.105657132,0.002071527,0.005460972,0.10551494,0.991518414,0.874210415,0.984094293,0.989868592
small_simple,SEIR,0.1,0.3,0.1,0,0.10589314,0.002145338,0.002161881,0.105633103,0.982713263,0.984299974,0.984910197,0.998842511
small_simple,SEIR,0.1,0.3,0.2,0,0.052668051,0.001554354,0.002039128,0.05264858,0.983903059,0.988221474,0.970149433,0.993428467
small_simple,SEIR,0.1,0.3,0.3,0,0.065817348,0.00073136,0.00154377,0.065754406,0.97455277,0.993930743,0.992298636,0.995051748
small_simple,SEIR,0.1,0.3,0.4,0,0.072699238,0.002121505,0.002020243,0.072748653,0.992162467,0.944922476,0.9886194,0.99804874
small_simple,SEIR,0.1,0.3,0.5,0,0.099167163,0.000694799,0.002642136,0.099127936,0.987682313,0.991190541,0.978713354,0.990577326
small_simple,SEIR,0.1,0.3,0.6,0,0.039532155,0.001233161,0.00272882,0.039537418,0.946363514,0.973859612,0.992051236,0.995760264
small_simple,SEIR,0.1,0.3,0.7,0,0.012907872,0.00157007,0.002285538,0.013501905,0.957641862,0.944429753,0.975067568,0.980451276
small_simple,SEIR,0.1,0.3,0.8,0,0.065961605,0.0015312,0.002215895,0.065938079,0.979841062,0.942187148,0.987050027,0.996417578
small_simple,SEIR,0.1,0.3,0.9,0,0.013813642,0.002100679,0.003028329,0.013956538,0.972651127,0.873141774,0.963121057,0.983517783
small_simple,SEIR,0.1,0.3,1,0,0.072728891,0.00190094,0.003525523,0.07275542,0.982456994,0.890881969,0.98706331,0.995371777
small_simple,SEIR,0.1,0.4,0.1,0,0.023646258,0.001803861,0.002008626,0.023638454,0.977829725,0.992580298,0.949214817,0.99501639
small_simple,SEIR,0.1,0.4,0.2,0,0.083494957,0.001346731,0.001477622,0.083393684,0.982669427,0.985994059,0.98264956,0.99457787
small_simple,SEIR,0.1,0.4,0.3,0,0.022792297,0.00177131,0.002295115,0.022971247,0.917398786,0.968816626,0.949816049,0.966661266
