Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SIRS,0.1,0.1,0,0.1,0.019973273,7.695116778,0.010973261,0.009965236,0.908756024,nan,0.904727689,0.894727671
small_simple,SIRS,0.1,0.1,0,0.2,0.018010873,7.695116778,0.013374788,0.006370967,0.935187836,nan,0.934404105,0.877737998
small_simple,SIRS,0.1,0.1,0,0.3,0.043238974,7.695116778,0.036156806,0.008750316,0.861458637,nan,0.850096275,0.825639195
small_simple,SIRS,0.1,0.1,0,0.4,0.037444934,7.695116778,0.03425924,0.005437229,0.879870474,nan,0.875476607,0.764255509
small_simple,SIRS,0.1,0.1,0,0.5,0.01987914,7.695116778,0.016525094,0.003995794,0.793119176,nan,0.791937371,0.569686186
small_simple,SIRS,0.1,0.1,0,0.6,0.070637405,7.695116778,0.067470125,0.006031233,0.62976978,nan,0.626649589,0.43526129
small_simple,SIRS,0.1,0.1,0,0.7,0.084000292,7.695116778,0.081811291,0.005118687,0.434827669,nan,0.431806476,0.280475762
small_simple,SIRS,0.1,0.1,0,0.8,0.036604672,7.695116778,0.037473729,0.002534856,0.906002085,nan,0.902274804,0.567389743
small_simple,SIRS,0.1,0.1,0,0.9,0.124590236,7.695116778,0.124827397,0.003420473,0.471082429,nan,0.46936521,0.132221855
small_simple,SIRS,0.1,0.1,0,1,0.111056579,7.695116778,0.1121759,0.002467326,0.285286832,nan,0.28464752,nan
small_simple,SIRS,0.1,0.2,0,0.1,0.006246716,7.695116778,0.00356699,0.004079906,0.984616862,nan,0.943552622,0.978629374
small_simple,SIRS,0.1,0.2,0,0.2,0.002406342,7.695116778,0.00192433,0.001200286,0.989649158,nan,0.979634791,0.983389333
small_simple,SIRS,0.1,0.2,0,0.3,0.002911267,7.695116778,0.002950858,0.001806562,0.989125727,nan,0.978267544,0.92614358
small_simple,SIRS,0.1,0.2,0,0.4,0.002775963,7.695116778,0.002685304,0.00178284,0.970494665,nan,0.963952745,0.849895911
small_simple,SIRS,0.1,0.2,0,0.5,0.00318463,7.695116778,0.002773225,0.001166151,0.988539424,nan,0.984912994,0.93916426
small_simple,SIRS,0.1,0.2,0,0.6,0.002649359,7.695116778,0.003288294,0.001165756,0.981609829,nan,0.968652178,0.894335564
small_simple,SIRS,0.1,0.2,0,0.7,0.005994643,7.695116778,0.006396503,0.001677234,0.930904392,nan,0.924087367,0.5699048
small_simple,SIRS,0.1,0.2,0,0.8,0.003624829,7.695116778,0.002221179,0.001648599,0.957260406,nan,0.970269886,0.420275022
small_simple,SIRS,0.1,0.2,0,0.9,0.002748367,7.695116778,0.002476855,0.001446253,0.958374287,nan,0.963133178,0.472519826
small_simple,SIRS,0.1,0.2,0,1,0.001355697,7.695116778,0.001791558,0.001461118,0.989799096,nan,0.987448889,nan
small_simple,SIRS,0.1,0.3,0,0.1,0.002149531,7.695116778,0.001107449,0.002693955,0.991318152,nan,0.984965495,0.983100054
small_simple,SIRS,0.1,0.3,0,0.2,0.002860847,7.695116778,0.000747657,0.002867419,0.966548747,nan,0.995216469,0.886755163
small_simple,SIRS,0.1,0.3,0,0.3,0.00241215,7.695116778,0.001563874,0.001629612,0.986904794,nan,0.977089406,0.949536072
small_simple,SIRS,0.1,0.3,0,0.4,0.002159183,7.695116778,0.001405578,0.001040464,0.978654491,nan,0.979288599,0.955356399
small_simple,SIRS,0.1,0.3,0,0.5,0.00227256,7.695116778,0.001219209,0.001865211,0.972264646,nan,0.981173382,0.797589729
small_simple,SIRS,0.1,0.3,0,0.6,0.002647072,7.695116778,0.001287789,0.001576174,0.961366113,nan,0.981077756,0.833166356
