Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
small_simple,SI,0.1,0,0,0,0.014671197,7.695116778,0.014671197,7.695116778,0.969853226,nan,0.969853226,nan
small_simple,SI,0.2,0,0,0,0.011590722,7.695116778,0.011590722,7.695116778,0.981939473,nan,0.981939473,nan
small_simple,SI,0.3,0,0,0,0.020708664,7.695116778,0.020708664,7.695116778,0.92016295,nan,0.92016295,nan
small_simple,SI,0.4,0,0,0,0.03470352,7.695116778,0.03470352,7.695116778,0.760457562,nan,0.760457562,nan
small_simple,SI,0.5,0,0,0,0.033777185,7.695116778,0.033777185,7.695116778,0.743759772,nan,0.743759772,nan
small_simple,SI,0.6,0,0,0,0.039557464,7.695116778,0.039557464,7.695116778,0.658015769,nan,0.658015769,nan
small_simple,SI,0.7,0,0,0,0.041600609,7.695116778,0.041600609,7.695116778,0.617011658,nan,0.617011658,nan
small_simple,SI,0.8,0,0,0,0.036770942,7.695116778,0.036770942,7.695116778,0.639363592,nan,0.639363592,nan
small_simple,SI,0.9,0,0,0,0.03801644,7.695116778,0.03801644,7.695116778,0.606663613,nan,0.606663613,nan
small_simple,SI,1,0,0,0,0.043246854,7.695116778,0.043246854,7.695116778,0.541759553,nan,0.541759553,nan
